Itr,train-AverageReturn,Time-Optimization,train-EnvExecTime,train-MinReturn,Time-SampleProc,train-NumTrajs,LossAfter,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,LossBefore,Time,ItrTime
59,51.25711129372617,0.232405424118042,2.1072323322296143,-53.2891384341978,0.03889870643615723,100,-0.010324903,600000,5.95190167427063,30.22316117019345,117.78163352815798,3.6499812602996826,31.54815345021561,-1.2575128e-05,378.41214203834534,6.223451614379883
60,53.504769086599474,0.22023844718933105,2.143876314163208,-89.3949063072245,0.08392572402954102,100,-0.0126887085,610000,6.152599573135376,31.430581384244018,115.70272663335335,3.8133912086486816,35.488480045441115,-1.2512741e-05,384.8794655799866,6.456977128982544
61,53.72718931732073,0.2028648853302002,2.1130738258361816,-68.2216856662461,0.09476685523986816,100,-0.016939139,620000,6.007801532745361,31.776168790434973,151.22316600631993,3.6989216804504395,32.45104424907768,-1.24827175e-05,391.1975245475769,6.305689811706543
62,61.10168330569053,0.22612595558166504,2.117027521133423,-33.858486313868084,0.04650402069091797,100,-0.01516973,630000,6.019991159439087,35.421155714307965,121.9529469379818,3.7061405181884766,27.747900348023446,-1.2441197e-05,397.5019590854645,6.292930841445923
63,59.548255674432475,0.2314307689666748,2.1004273891448975,-62.667530724552996,0.032470703125,100,-0.01914389,640000,5.964789390563965,33.83771719064201,119.89250106681266,3.6704792976379395,30.5692308727051,-1.2401056e-05,403.74259328842163,6.22895884513855
64,60.926537130810786,0.22714495658874512,2.096932888031006,-25.201640349178916,0.045990943908691406,100,-0.016659118,650000,5.93803858757019,35.08536445678092,117.67657690699394,3.648888111114502,29.39964481186808,-1.2372784e-05,409.9663498401642,6.211441993713379
65,58.9699201986566,0.23653340339660645,2.044273614883423,-48.78308644189157,0.04680466651916504,100,-0.015696332,660000,5.865724802017212,34.67392718990763,131.2865807256825,3.6237521171569824,32.984047777172215,-1.23519385e-05,416.12645840644836,6.149350643157959
66,68.71480594635811,0.23650693893432617,2.1793813705444336,-98.77896785300432,0.049451351165771484,100,-0.012919904,670000,6.25456166267395,40.178263199385164,134.99395634796915,3.8706958293914795,32.94449785684493,-1.23392465e-05,422.6779942512512,6.540908336639404
67,71.15775944952031,0.22062063217163086,2.1304233074188232,-14.821974577911355,0.06031465530395508,100,-0.016965562,680000,6.025888919830322,41.8186143953076,144.3314691931164,3.691746234893799,31.007979813315174,-1.2284992e-05,428.99681210517883,6.307187557220459
68,65.80016790739776,0.22885632514953613,2.1640799045562744,-2.452255799026324,0.047715187072753906,100,-0.016174389,690000,6.118579387664795,38.816224242426024,129.0452607750162,3.756584882736206,26.8025178729831,-1.2242399e-05,435.40313506126404,6.395547389984131
69,71.22195455887797,0.2318100929260254,2.0302765369415283,-71.06115681056976,0.043074846267700195,100,-0.01148647,700000,5.794940710067749,41.00272943086502,148.40138678941204,3.5740134716033936,35.78966022874102,-1.2210966e-05,441.4837839603424,6.070145845413208
70,68.81328932601929,0.23917055130004883,2.1509861946105957,-75.03720185823882,0.04451131820678711,100,-0.018121451,710000,6.122649431228638,39.33584954257923,141.5651543991014,3.773324966430664,42.141953056544416,-1.2159153e-05,447.90129685401917,6.40660548210144
71,69.70592235637154,0.22147417068481445,2.1526663303375244,-86.41222398018112,0.04715776443481445,100,-0.01927459,720000,6.144881725311279,40.133697511906206,134.42219700634783,3.7951903343200684,34.04505837344152,-1.2118557e-05,454.3281400203705,6.413770914077759
72,79.07550703997872,0.2157120704650879,2.096885919570923,-88.53247036094753,0.059335947036743164,100,-0.013707205,730000,6.025363445281982,46.18217202819154,136.25737526935137,3.735426187515259,33.682253547860896,-1.20716895e-05,460.63926792144775,6.300709962844849
