n_timesteps,LossAfter,train-AverageDiscountedReturn,Time-SampleProc,train-AverageReturn,train-MaxReturn,Time-Optimization,Time,Itr,ItrTime,train-NumTrajs,train-StdReturn,LossBefore,train-PolicyExecTime,Time-Sampling,train-EnvExecTime,train-MinReturn
990000,-0.0059475647,-7.753053627741467,0.1226963996887207,-10.509188864088147,49.811994921182134,1.1201825141906738,2454.348407268524,98,24.409118175506592,100,32.26748765717345,-0.0006844421,14.19555139541626,23.165480613708496,8.269980669021606,-122.12189919300795
1000000,-0.0045587104,-9.228284343612781,0.11767339706420898,-12.529294409516533,78.9711045899626,1.0920863151550293,2478.76739859581,99,24.342745304107666,100,32.372441952699624,-3.6239625e-09,14.11513614654541,23.132314682006836,8.320860147476196,-93.3367545249392
1010000,-0.0051590563,-8.947869772004696,0.12028050422668457,-13.161317762312185,68.23720902894459,1.125577688217163,2503.195648908615,100,24.366142988204956,100,36.096809112991096,-9.727478e-09,14.082798957824707,23.119547367095947,8.334396839141846,-115.75233878700743
1020000,-0.004832074,-11.538337143096816,0.12156844139099121,-16.212302270549277,42.61652397402898,1.1220996379852295,2527.7714116573334,101,24.506195306777954,100,33.769086255489334,-6.1035155e-09,14.258047819137573,23.26180624961853,8.297956705093384,-102.10976190811103
1030000,-0.0083540585,-6.836116569174069,0.12033915519714355,-9.970356996852653,66.18069371938282,1.1096463203430176,2552.2576315402985,102,24.420543432235718,100,31.52873173815238,3.0517577e-09,14.154590845108032,23.189922094345093,8.332147121429443,-106.68057619248516
1040000,-0.0053318054,-9.173359602016204,0.14880633354187012,-13.615283542141697,74.39965490335537,1.0863714218139648,2576.8505120277405,103,24.52648425102234,100,28.77140313363784,-3.0517577e-09,14.256476640701294,23.290571212768555,8.3256196975708,-92.49721579522003
1050000,-0.0038077699,-6.4848567318510755,0.11925125122070312,-7.56515253694533,62.06087320186224,1.0969486236572266,2601.2663009166718,104,24.349764347076416,100,31.742843397256422,-4.1137697e-05,14.13341236114502,23.13290762901306,8.288408756256104,-102.93083738793109
1060000,-0.0065197386,-12.694215092738434,0.11558008193969727,-18.903500462407674,74.69875280703522,1.1000895500183105,2625.8957080841064,105,24.5689640045166,100,30.460502120535235,1.8310548e-08,14.296766519546509,23.35267210006714,8.346659898757935,-95.37869439712694
1070000,-0.0055791168,-8.413750623638062,0.1327357292175293,-11.87026473266861,82.87507541250434,1.112736463546753,2650.438057899475,106,24.48133158683777,100,36.27269820470799,-1.9836426e-08,14.22398829460144,23.235018253326416,8.310310363769531,-96.82146529756669
1080000,-0.0078393975,-9.49945703887314,0.12091588973999023,-13.987412729000775,53.141902102031416,1.1129348278045654,2675.029284954071,107,24.52841281890869,100,30.425144230082484,-9.918213e-09,14.278375625610352,23.293845415115356,8.315516710281372,-87.41266477117813
1090000,-0.005717163,-8.425850320594515,0.12154483795166016,-10.522283770242334,70.04315040673184,1.136122465133667,2699.580577611923,108,24.488535404205322,100,33.849546995663744,1.8310548e-08,14.2749924659729,23.22980237007141,8.244839906692505,-96.36282381021041
1100000,-0.004787702,-2.9748729950497106,0.12034177780151367,-2.3575889658396836,101.78696726022743,1.113600254058838,2724.393333673477,109,24.745543003082275,100,32.280019616690666,7.6293943e-10,14.40986704826355,23.510852575302124,8.390697956085205,-62.27721745618669
1110000,-0.009078662,-4.690502935969599,0.1265864372253418,-5.625057648831493,96.0789120560968,1.1092603206634521,2749.049964427948,110,24.582695484161377,100,34.821317197696786,-6.1035155e-09,14.30782437324524,23.34617018699646,8.332967281341553,-88.29411833692566
1120000,-0.0074565,-3.2338135842256985,0.13124465942382812,-2.1855603037603313,86.9291884558049,1.0996756553649902,2773.4280319213867,111,24.315742254257202,100,33.918852763001574,-6.1035155e-09,14.161550998687744,23.084103107452393,8.201149463653564,-99.47703571319958
1130000,-0.008687291,-0.2957893794796544,0.17497873306274414,2.9925153876615274,123.3704912490873,1.6660528182983398,2800.2289724349976,112,26.73562526702881,100,34.963350823371336,1.525879e-08,15.375525712966919,24.893523693084717,8.760885000228882,-73.36409162174866
1140000,-0.0081075365,-2.3164202337880315,0.1802058219909668,-0.4779464203088193,80.56937677571649,1.4881627559661865,2832.2118854522705,113,31.89733338356018,100,33.69270810938416,-2.4414062e-08,19.069256067276,30.22795081138611,10.202696800231934,-126.94259677863374
1150000,-0.006817551,-0.2795498957391493,0.1435861587524414,3.14051877008762,83.54674506421075,1.3842196464538574,2860.4592049121857,114,28.17566156387329,100,33.77118323944577,-0.0008189087,16.643383741378784,26.64683985710144,9.183103799819946,-101.91534504342891
1160000,-0.0053578066,-0.7682953375511071,0.1615903377532959,3.5221319211491835,86.8411200238718,1.5527148246765137,2889.749158859253,115,29.220869541168213,100,29.19929164251039,-2.1362304e-08,17.254940509796143,27.50564980506897,9.400622129440308,-69.65371480224958
1170000,-0.006690886,-0.6779588259682994,0.17267084121704102,3.3113717863404584,108.54721349259671,1.5757806301116943,2918.5512816905975,116,28.73486018180847,100,36.829226271856434,1.0681152e-08,16.84186291694641,26.985658407211304,9.312560796737671,-89.64490633976853
1180000,-0.0070210756,-0.9112507600248938,0.19480490684509277,1.1285163473883413,114.56844152142497,1.499281644821167,2949.15430188179,117,30.533995389938354,100,38.96558215531757,3.6621095e-08,18.088954210281372,28.839134454727173,9.856387615203857,-99.527728435209
1190000,-0.0080734715,5.993006294988401,0.1677076816558838,14.458257491474303,101.11308285167749,1.5359296798706055,2979.907205581665,118,30.675428867340088,100,39.03194252431055,-1.5258789e-09,18.28487539291382,28.970277547836304,9.792561292648315,-88.80576724372686
1200000,-0.005756018,8.59722716731323,0.13119959831237793,18.254719065231992,110.6756377871597,1.732621431350708,3009.419186115265,119,29.444838762283325,100,38.55794453883361,-6.1035155e-09,17.185953617095947,27.580092191696167,9.531413555145264,-64.54348130705583
1210000,-0.008205069,11.69091400035951,0.15064430236816406,25.82492520921902,115.12443835244035,1.2629139423370361,3037.395269870758,120,27.846301317214966,100,36.61410388230083,6.1035155e-09,16.40675139427185,26.430840492248535,9.216110229492188,-54.76699321456778
1220000,-0.006073836,13.326674374153786,0.1563432216644287,26.30974357518863,109.96916137503847,1.3210780620574951,3065.207846403122,121,27.733684062957764,100,33.84577340668098,-3.0517577e-09,16.317620038986206,26.255491971969604,9.136577844619751,-52.28539610610624
1230000,-0.0055634887,17.838924025056365,0.1578364372253418,35.2768984735445,106.61241623530096,1.2000339031219482,3092.6843729019165,122,27.401099920272827,100,38.4524433229483,-6.1035155e-09,16.15561008453369,26.04233479499817,9.073741674423218,-90.38143282940555
1240000,-0.00620314,17.053548113849736,0.12106561660766602,35.540032581429735,103.92817439613901,1.358823537826538,3120.8789808750153,123,28.10070490837097,100,33.16355007275679,-2.1362304e-08,16.594891786575317,26.61829948425293,9.222652196884155,-46.849633842285634
1250000,-0.0059955353,14.84437755685027,0.12300825119018555,30.486977830137853,145.9696295617841,1.3319456577301025,3148.388683319092,124,27.43420934677124,100,42.545342036234395,-0.00073450926,16.10492753982544,25.97852325439453,9.078099727630615,-58.79219224474025
1260000,-0.0067934874,23.542448093769117,0.17211318016052246,45.33207280805576,139.1540408801532,1.2550668716430664,3176.273910999298,125,27.79477286338806,100,42.690193574467465,-1.525879e-08,16.403397798538208,26.366788148880005,9.159735202789307,-71.25297895446353
1270000,-0.004844528,21.668579720250296,0.17061185836791992,42.53803120197076,149.4249787137517,1.264756679534912,3203.5647807121277,126,27.21135187149048,100,43.92385922040306,-6.1035155e-09,15.977944374084473,25.775176286697388,9.014031410217285,-82.43182462426262
1280000,-0.007990588,23.056554094639356,0.1240382194519043,44.549944054833674,141.83797188814566,1.278102159500122,3231.458916425705,127,27.823319673538208,100,40.78659466399481,-0.0010351074,16.49330163002014,26.42039394378662,9.133240461349487,-45.94732225612885
1290000,-0.0100242,24.34879408633065,0.12320399284362793,48.68120072715277,154.5784226816759,1.4075524806976318,3258.866368532181,128,27.334264039993286,100,40.64379181436447,3.051758e-08,15.982033491134644,25.80273151397705,9.020430326461792,-53.784045904575464
1300000,-0.00895369,26.50016263646259,0.1546950340270996,51.609143969606855,174.1652277482395,1.3192253112792969,3286.9109773635864,129,27.95148253440857,100,42.256010728888654,-1.8310548e-08,16.529768228530884,26.47666621208191,9.129964113235474,-47.165692255500204
1310000,-0.0077804443,24.672698291771404,0.15468502044677734,48.33209866717114,148.24034115630323,1.3014698028564453,3314.3373985290527,130,27.345021963119507,100,42.68412489966677,3.0517577e-09,16.081445455551147,25.88702964782715,9.009487390518188,-86.24518541761012
1320000,-0.007441112,26.366154570488234,0.16208410263061523,54.052549834018535,157.01373125594125,1.4235618114471436,3341.9535858631134,131,27.53061866760254,100,45.334044252460096,7.6293943e-10,16.06593132019043,25.94414210319519,9.065157890319824,-89.00620290215157
1330000,-0.012672266,29.583515875883542,0.126328706741333,57.201134536361636,162.32861670095448,1.4119203090667725,3369.778126478195,132,27.748878717422485,100,40.06341783969696,-1.525879e-08,16.306796073913574,26.209643602371216,9.105297327041626,-82.07677683078641
1340000,-0.0044350373,30.289320725687173,0.1816563606262207,59.285553125554436,133.2615949267695,1.3812291622161865,3397.0048077106476,133,27.15146803855896,100,37.55248493194298,3.0517577e-09,15.866801977157593,25.586660623550415,8.939212560653687,-23.744893422814105
1350000,-0.009647021,33.587438979821606,0.14037418365478516,63.780870978977894,135.9362641798233,1.8725230693817139,3424.743066549301,134,27.649948596954346,100,37.741036941886506,6.1035155e-09,15.858327627182007,25.636119842529297,8.983421325683594,-52.35993011522882
1360000,-0.0049463958,41.11985667099401,0.1656496524810791,77.56985639418228,161.77699319669495,1.6139631271362305,3451.6616430282593,135,26.827837705612183,100,38.885676742055395,3.0517577e-09,15.44990611076355,25.046819925308228,8.824621677398682,-5.337146566776596
1370000,-0.0046237116,40.72450575262135,0.1343080997467041,78.04855738777326,175.37056897508035,1.365382194519043,3478.659350633621,136,26.91485333442688,100,38.25115469467813,1.6021728e-08,15.657406568527222,25.4136803150177,8.978888988494873,-2.325778830720062
1380000,-0.004808205,40.36757915205576,0.13048839569091797,76.94224705788754,187.77858684159065,1.2633304595947266,3506.1000394821167,137,27.360347270965576,100,43.94013878357869,-2.0980835e-09,16.147757053375244,25.96575665473938,9.014016389846802,-58.57443640660648
1390000,-0.005087033,42.1860489111425,0.15205717086791992,80.8678092370736,170.68084251915985,1.3610854148864746,3533.372614145279,138,27.194286346435547,100,41.74046019413488,-6.1035155e-09,15.915429592132568,25.68025016784668,8.949368238449097,-38.35103112981294
1400000,-0.007155084,45.5156195957899,0.12649798393249512,86.54829219989924,181.93436826210527,1.251180648803711,3561.0732951164246,139,27.615503072738647,100,44.407434648293574,2.1362304e-08,16.35716414451599,26.237080335617065,9.085689544677734,-42.12106981840162
1410000,-0.0045466917,40.432669504588624,0.14624977111816406,77.72167224028901,177.46376861729172,1.4651482105255127,3588.7323043346405,140,27.576263666152954,100,39.625477904456474,-1.2207031e-08,16.150371551513672,25.96373748779297,8.990893363952637,-28.770136132860376
1420000,-0.004024034,42.86294250529906,0.18021821975708008,82.06256922350478,167.9208197331811,1.3459575176239014,3615.8979473114014,141,27.083430767059326,100,38.24715063243235,-3.0517577e-09,15.920953273773193,25.556483030319214,8.850003957748413,-28.680837051776674
1430000,-0.007170444,48.963635572817545,0.17330336570739746,91.98646640180115,195.5393576123013,1.306476354598999,3643.880269050598,142,27.904369592666626,100,40.21380021474052,-2.4414062e-08,16.48400044441223,26.42380380630493,9.135992765426636,-3.1985537369062795
1440000,-0.005137924,45.139151593061044,0.1244044303894043,86.44433512982967,183.31517564642263,1.3174448013305664,3671.1633961200714,143,27.196411848068237,100,40.58858345875308,6.4849854e-09,16.03631043434143,25.753844261169434,8.925569295883179,-3.4230203688373746
1450000,-0.003963663,46.01921386165227,0.12262558937072754,87.8779234903866,173.94991863193698,1.2135591506958008,3698.0939123630524,144,26.84950280189514,100,38.56243165804428,3.0517577e-09,15.808046340942383,25.512507438659668,8.9239182472229,-3.5963507260903738
1460000,-0.0033250316,45.85188628966935,0.12160205841064453,85.77205902065363,189.17789175504612,1.2142703533172607,3725.5923597812653,145,27.42924952507019,100,43.94119935416141,4.577637e-09,16.200108289718628,26.092660427093506,9.092039823532104,-20.340513291944376
1470000,-0.00511342,48.3520277555105,0.1529240608215332,90.89489339888907,180.314772803182,1.279555082321167,3752.682354450226,146,27.019818782806396,100,45.034810318882286,-1.2207031e-08,15.880733728408813,25.586585760116577,8.920767307281494,-43.05199265853268
1480000,-0.0051368377,50.37020111796437,0.12917685508728027,95.70785286179478,195.09324064539535,1.282102346420288,3780.283781528473,147,27.528210878372192,100,40.394510311913635,7.629395e-09,16.31665849685669,26.11617636680603,8.996598720550537,-6.151087891919765
1490000,-0.005322618,47.53776025379976,0.1288280487060547,88.7955285049538,174.98810242931,1.324965476989746,3807.6579122543335,148,27.29939913749695,100,44.55221306670424,-3.8146974e-09,16.1225848197937,25.84479808807373,8.939919233322144,-12.424394817538346
1500000,-0.0077071427,46.47650766346197,0.22737884521484375,86.14561316102632,159.54560453840833,1.299483060836792,3835.148668050766,149,27.410451889038086,100,33.733147530071264,-0.0008569687,16.134936571121216,25.882081270217896,8.961772441864014,18.117689072588643
1510000,-0.005253541,48.9773388616204,0.1359710693359375,90.74266774281296,203.7606990301536,1.8688795566558838,3862.5345208644867,150,27.31985831260681,100,41.28487454327001,-3.8146974e-09,15.673772096633911,25.314241886138916,8.860106468200684,-14.41070409260261
1520000,-0.008541222,44.34730756577912,0.12607765197753906,85.53867625483852,169.33190112281846,1.3393690586090088,3889.345092535019,151,26.74789309501648,100,35.57627621855155,-1.2969971e-08,15.582058429718018,25.280263423919678,8.911420822143555,-4.8793182107940165
1530000,-0.0040384703,51.41109365645536,0.14324045181274414,96.80251180870175,171.46022826344338,1.2835783958435059,3916.658257007599,152,27.238100051879883,100,37.17761944910857,-0.00034241637,16.057087421417236,25.81012773513794,8.968001127243042,-9.432404427423585
1540000,-0.0045648315,48.75147537751805,0.12801694869995117,94.02790548573175,229.9008092589136,1.2466099262237549,3943.6361746788025,153,26.90561580657959,100,42.269263758306174,6.1035155e-09,15.98359751701355,25.528696298599243,8.76277494430542,-28.228987905867463
