train-StdReturn,Time,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-PolicyExecTime,Time-Optimization,train-AverageReturn,train-NumTrajs,train-EnvExecTime,n_timesteps,LossBefore,Itr,train-MaxReturn,Time-SampleProc,ItrTime,Time-Sampling
35.445099384006994,3513.49658203125,35.02393793612452,-20.098884898744387,-0.012582553,14.033517837524414,1.1330983638763428,62.96698317598546,100,8.5418221950531,1420000,-1.1554827e-05,141,156.65614521984924,0.12390017509460449,24.535269021987915,23.277440071105957
41.18635288982378,3538.110330581665,37.978993468800816,-49.49216788267368,-0.010946013,14.117600679397583,1.115227460861206,68.6741099583179,100,8.482742071151733,1430000,-1.1562632e-05,142,163.28711608553627,0.1215207576751709,24.54508638381958,23.307546138763428
38.18272998254667,3562.7155408859253,38.08138980238395,-75.24230841991395,-0.014190443,14.110333919525146,1.0892000198364258,68.02288190963813,100,8.494704008102417,1440000,-1.1530512e-05,143,160.46331780110523,0.12332773208618164,24.542576551437378,23.32922673225403
38.003650340794835,3587.231339931488,37.78983743855559,-23.696611967140534,-0.012996164,14.039907932281494,1.0977489948272705,68.71867378535981,100,8.485444784164429,1450000,-1.1508221e-05,144,170.3294167432853,0.12523198127746582,24.44495916366577,23.221009016036987
34.598860833317254,3611.905157327652,39.96303770534789,-7.603708127327014,-0.014900232,14.180554628372192,1.0970630645751953,73.59494931679892,100,8.490820169448853,1460000,-1.1485851e-05,145,145.0341414727486,0.1232900619506836,24.605661153793335,23.384661436080933
35.05174556124201,3636.5661754608154,36.700743830852495,-19.963326486076305,-0.013392786,14.13572883605957,1.1328108310699463,66.8330583952594,100,8.47111439704895,1470000,-1.1435073e-05,146,175.70720805151004,0.14281582832336426,24.59960961341858,23.32287883758545
39.41437764115185,3661.171055316925,37.80584802749886,-41.983550670081335,-0.015223092,14.10584282875061,1.1113708019256592,67.87902462857122,100,8.48283576965332,1480000,-1.1421891e-05,147,139.60515958823666,0.13427734375,24.538301706314087,23.291879653930664
33.14790725757345,3685.8377635478973,37.39758080452014,-42.14634543771746,-0.014985588,14.102398157119751,1.1288764476776123,68.14851300825897,100,8.52415132522583,1490000,-1.1427184e-05,148,135.531527419952,0.15227246284484863,24.604377031326294,23.322553157806396
37.69771146576809,3710.367822408676,44.67755915764695,-66.83535170860887,-0.015940892,14.05949854850769,1.116858720779419,79.4024219835856,100,8.45546269416809,1500000,-1.1405973e-05,149,153.03735496920592,0.12280392646789551,24.457106828689575,23.21674084663391
33.13214808989453,3734.9830169677734,43.928017618222604,-4.899275204968501,-0.01623972,14.110962152481079,1.135251522064209,78.27708721048812,100,8.4779372215271,1510000,-1.1368595e-05,150,168.37729278441688,0.12097620964050293,24.549205780029297,23.292271614074707
40.44568482639358,3759.751506090164,47.20602832212015,-38.19730515178845,-0.01707849,14.221292972564697,1.1415379047393799,84.9682265360549,100,8.506617069244385,1520000,-1.13219e-05,151,153.47557516772173,0.13147497177124023,24.701536655426025,23.427502870559692
38.118756914620576,3784.383176803589,46.15144429312718,-1.1576114303695229,-0.012388137,14.147196531295776,1.1133780479431152,83.62791611115979,100,8.483792543411255,1530000,-1.13153055e-05,152,184.48225568725576,0.12108302116394043,24.563121795654297,23.328036546707153
39.209200219558866,3809.0130484104156,44.7123594401219,-65.16599678754672,-0.015750196,14.084391832351685,1.1105592250823975,81.77114135882617,100,8.509169578552246,1540000,-1.1274503e-05,153,169.4359758931923,0.13546371459960938,24.56865644454956,23.321403980255127
36.991672815292596,3833.5108647346497,45.45873559455862,-46.047323240612954,-0.013327561,14.031074285507202,1.1124598979949951,83.04023899526092,100,8.461478471755981,1550000,-1.12844555e-05,154,143.95028706036823,0.12269020080566406,24.432262420654297,23.196370840072632
41.24951607913092,3858.0505831241608,49.99117513972267,-38.01908886861613,-0.012979895,14.079217433929443,1.1051442623138428,89.16285315840663,100,8.452525854110718,1560000,-1.1249371e-05,155,165.69083436920457,0.1252601146697998,24.47293186187744,23.24174189567566
