LossAfter,ItrTime,n_timesteps,train-MaxReturn,Itr,Time-Sampling,Time,LossBefore,train-EnvExecTime,Time-Optimization,train-AverageDiscountedReturn,train-NumTrajs,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-SampleProc,train-AverageReturn
-0.0029257813,34.36721634864807,380000,107.0962848173304,37,32.5401508808136,972.0370497703552,0.006305664,10.931046485900879,1.6280066967010498,46.0374393023126,100,20.613834857940674,-9.193874610427898,21.16292841816574,0.1966564655303955,80.48640492706686
-0.053124756,36.01680946350098,390000,108.50116431091703,38,34.33643627166748,1008.1367294788361,-0.008987183,11.366379022598267,1.5207293033599854,48.8228260919855,100,21.923909187316895,30.093489633838313,13.78194516261615,0.15869855880737305,85.70387188690027
-0.055124193,35.84859299659729,400000,118.46930966192873,39,33.97771167755127,1044.086184501648,-0.038787648,11.284234523773193,1.681593418121338,47.45323201485557,100,21.64592695236206,3.219861992157289,17.1749617690221,0.18830418586730957,82.82056776234971
0.00027270507,36.26643395423889,410000,107.90011679208672,40,34.28765034675598,1080.4297561645508,0.013932006,11.071568727493286,1.7862515449523926,48.873979606950776,100,22.113832712173462,25.138082643607703,12.183704627455741,0.19119691848754883,85.99107018845369
-0.051393703,41.418498039245605,420000,105.915293682206,41,39.41265058517456,1121.9202427864075,-0.021164257,12.467245817184448,1.813591718673706,46.77918804159227,100,25.749934673309326,7.177418913355503,18.079488709598063,0.19039559364318848,81.94764211438182
-0.039544336,42.294337034225464,430000,109.15931830214632,42,40.30078053474426,1164.2951064109802,-0.017965795,12.707533597946167,1.8072478771209717,47.275706585053676,100,26.32887053489685,17.638188770829323,14.55022559023511,0.18451285362243652,82.37731144120892
-0.05046118,40.513492584228516,440000,115.60651036961853,43,38.38610315322876,1204.9060156345367,-0.022226758,12.254826307296753,1.928523063659668,47.58391477845128,100,24.934357166290283,6.234396365697834,16.938581440770477,0.19656825065612793,82.98053133846835
0.014391162,39.41265034675598,450000,114.87434555815553,44,37.83668327331543,1244.4293377399445,0.029756676,12.25339126586914,1.4405851364135742,48.488419605628636,100,24.424992084503174,30.409573605363803,13.31062984288179,0.13451719284057617,84.95137055357709
-0.010265699,36.65306091308594,460000,111.42077123114412,45,34.68888473510742,1281.1586601734161,0.0005624878,11.292521238327026,1.8212463855743408,47.8413637615477,100,22.315224409103394,-30.239613402803457,15.04235662759076,0.14158892631530762,83.6533561052065
-0.02926333,37.99572157859802,470000,109.56603184241106,46,36.2261483669281,1319.250757932663,-0.01101941,11.751532793045044,1.5667858123779297,48.5879076423848,100,23.36651349067688,2.7567056214534498,17.3700706434645,0.20107603073120117,85.08948195677549
0.002841797,34.38654708862305,480000,110.91184020790901,47,32.465617418289185,1353.7218236923218,0.030755859,10.747625827789307,1.7278149127960205,46.067795486606435,100,20.71284008026123,16.450143332451685,19.478077127293158,0.1914539337158203,80.44515516470186
-0.07889595,37.53316068649292,490000,110.24623845602356,48,35.48571062088013,1391.3605103492737,-0.04632617,11.670818090438843,1.8274824619293213,48.28687880299104,100,22.72634792327881,-20.439742076904263,17.6779907785297,0.21677446365356445,84.22608625968769
-0.033534717,39.3865704536438,500000,116.21252706435999,49,37.576128244400024,1430.824462890625,-0.015954297,12.200516939163208,1.615431785583496,49.89017200182243,100,24.208138942718506,36.71622137251595,12.685263297534565,0.19376206398010254,87.5298354547082
-0.0123042725,36.48401975631714,510000,107.70182196391632,50,34.80222845077515,1467.3761072158813,0.030744385,11.484270811080933,1.538597822189331,48.328313643613036,100,22.23569917678833,10.494720663398335,15.01671354972689,0.1408700942993164,85.00123155125154
