Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
242	1000	3319.643407344818	244000	244000	368	2461.013185252814	2711.6790219085815
243	1000	3332.359200000763	245000	245000	369	2637.100604830268	2711.6790219085815
244	1000	3344.9695513248444	246000	246000	370	2604.0687512760423	2711.6790219085815
245	1000	3357.2294461727142	247000	247000	371	2634.894975767959	2711.6790219085815
246	1000	3369.90713763237	248000	248000	372	391.13195176819306	2711.6790219085815
247	1000	3381.792539834976	249000	249000	373	539.9401068642494	2711.6790219085815
248	1000	3394.6523587703705	250000	250000	374	1499.3581332350996	2711.6790219085815
249	1000	3407.1526601314545	251000	251000	375	2419.626233554049	2711.6790219085815
250	1000	3420.116594314575	252000	252000	376	2690.273133125497	2711.6790219085815
251	1000	3433.2367413043976	253000	253000	377	2383.9025187730363	2711.6790219085815
252	1000	3446.2929635047913	254000	254000	379	282.2375472210373	2711.6790219085815
253	1000	3458.579089641571	255000	255000	380	2556.6691190748975	2711.6790219085815
254	1000	3471.279232263565	256000	256000	381	186.86705100101474	2711.6790219085815
255	1000	3483.9630646705627	257000	257000	384	1057.0899243523581	2711.6790219085815
256	1000	3496.5683851242065	258000	258000	385	2643.6494206649168	2711.6790219085815
257	1000	3508.419999599457	259000	259000	387	309.7770349293218	2711.6790219085815
258	1000	3520.6598422527313	260000	260000	390	392.51362011685245	2711.6790219085815
259	1000	3533.2459168434143	261000	261000	391	2260.0819785830076	2711.6790219085815
260	1000	3545.046075820923	262000	262000	393	1460.2475413340858	2711.6790219085815
261	1000	3557.7484221458435	263000	263000	394	2622.2063746411554	2711.6790219085815
262	1000	3570.4882016181946	264000	264000	395	2552.0347100970757	2711.6790219085815
263	1000	3581.9810841083527	265000	265000	397	526.1040478663092	2711.6790219085815
264	1000	3593.9963381290436	266000	266000	398	2559.5032922428295	2711.6790219085815
265	1000	3605.7566969394684	267000	267000	399	2692.3572930243595	2711.6790219085815
266	1000	3619.56435751915	268000	268000	400	2854.095507700545	2854.095507700545
267	1000	3632.148341655731	269000	269000	401	2586.980857910263	2854.095507700545
268	1000	3644.217851161957	270000	270000	402	2717.6598261301515	2854.095507700545
