Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
150	1423.1279075145721	1000	152000	-538.7331287464342	359	1163.6681241822496	152000
151	1434.0184183120728	1000	153000	-186.54502942450065	363	1163.6681241822496	153000
152	1445.3251175880432	1000	154000	-79.73245823856375	371	1163.6681241822496	154000
153	1456.5223319530487	1000	155000	-123.42285218963127	375	1163.6681241822496	155000
154	1465.1945905685425	1000	156000	-2994.0603968116648	376	1163.6681241822496	156000
155	1473.2200179100037	1000	157000	-89.77010133721471	380	1163.6681241822496	157000
156	1481.41650390625	1000	158000	-159.47704237213645	382	1163.6681241822496	158000
157	1490.510992050171	1000	159000	-259.07532310626266	385	1163.6681241822496	159000
158	1500.6489539146423	1000	160000	-33.25395583408049	387	1163.6681241822496	160000
159	1511.876050710678	1000	161000	-208.86488016601373	394	1163.6681241822496	161000
160	1520.818541765213	1000	162000	-82.61201428614585	396	1163.6681241822496	162000
161	1528.833907842636	1000	163000	-105.31082973274587	403	1163.6681241822496	163000
162	1536.9367716312408	1000	164000	-904.9885662196533	404	1163.6681241822496	164000
163	1545.9346969127655	1000	165000	-299.213521933042	406	1163.6681241822496	165000
164	1555.6047837734222	1000	166000	-2979.7669588732506	407	1163.6681241822496	166000
165	1566.9598932266235	1000	167000	-2496.886604433686	409	1163.6681241822496	167000
166	1576.1777050495148	1000	168000	-2971.858533920615	410	1163.6681241822496	168000
167	1584.2027308940887	1000	169000	-510.4897558383868	412	1163.6681241822496	169000
168	1592.3419144153595	1000	170000	-117.18012865654039	414	1163.6681241822496	170000
169	1601.1851999759674	1000	171000	-2866.5486076150937	415	1163.6681241822496	171000
170	1611.0878360271454	1000	172000	-1332.2037700765334	418	1163.6681241822496	172000
171	1622.5301988124847	1000	173000	-269.96086126805255	420	1163.6681241822496	173000
172	1633.7388973236084	1000	174000	-2923.8927030469963	421	1163.6681241822496	174000
173	1643.5305950641632	1000	175000	-2963.6444270047105	422	1163.6681241822496	175000
174	1651.5628116130829	1000	176000	-2940.154183696184	423	1163.6681241822496	176000
175	1659.7491915225983	1000	177000	-2939.4353685848505	424	1163.6681241822496	177000
176	1668.5268716812134	1000	178000	-2961.483990820034	425	1163.6681241822496	178000
177	1678.235439300537	1000	179000	-2955.2077690077767	426	1163.6681241822496	179000
178	1689.5068678855896	1000	180000	-715.3124417823373	428	1163.6681241822496	180000
179	1700.4993660449982	1000	181000	-444.3005579426233	430	1163.6681241822496	181000
180	1708.4655148983002	1000	182000	-769.7136340550852	433	1163.6681241822496	182000
181	1716.7098746299744	1000	183000	-2917.328063511385	434	1163.6681241822496	183000
182	1724.924855709076	1000	184000	-2940.681318172258	435	1163.6681241822496	184000
183	1734.3795022964478	1000	185000	-2940.682451451678	436	1163.6681241822496	185000
184	1744.9474115371704	1000	186000	-3013.812647458791	437	1163.6681241822496	186000
185	1756.2407698631287	1000	187000	-2904.4741629075907	438	1163.6681241822496	187000
186	1767.5143382549286	1000	188000	-2882.223556895266	439	1163.6681241822496	188000
187	1777.861769914627	1000	189000	-2780.3635971914828	440	1163.6681241822496	189000
188	1785.4675538539886	1000	190000	-2843.898081088041	441	1163.6681241822496	190000
189	1793.5285623073578	1000	191000	-2938.709145262271	442	1163.6681241822496	191000
190	1801.883533000946	1000	192000	-257.9222845508225	457	1163.6681241822496	192000
191	1811.3464226722717	1000	193000	-62.31266473905817	460	1163.6681241822496	193000
192	1822.630316734314	1000	194000	-65.73051124704229	484	1163.6681241822496	194000
193	1834.109248161316	1000	195000	-158.49451583446216	505	1163.6681241822496	195000
194	1842.6259398460388	1000	196000	-45.15981116465623	507	1163.6681241822496	196000
195	1850.6828384399414	1000	197000	-479.3045499514446	516	1163.6681241822496	197000
196	1858.8070363998413	1000	198000	-233.92199458804933	534	1163.6681241822496	198000
197	1867.8724038600922	1000	199000	-55.82186557133953	536	1163.6681241822496	199000
198	1878.1538338661194	1000	200000	-304.05506066145995	548	1163.6681241822496	200000
199	1889.133003950119	1000	201000	-2926.2623189509686	549	1163.6681241822496	201000
200	1897.159395456314	1000	202000	-213.31876476685326	551	1163.6681241822496	202000
