train-AverageDiscountedReturn,Time-Optimization,n_timesteps,Time-SampleProc,Time-Sampling,ItrTime,Itr,LossAfter,train-EnvExecTime,train-NumTrajs,train-MaxReturn,train-MinReturn,LossBefore,train-StdReturn,train-PolicyExecTime,train-AverageReturn,Time
-3.2195241642621584,1.1449263095855713,1920000,0.15021991729736328,24.05158519744873,25.34757399559021,191,-0.019469416,8.61163854598999,100,97.8252757017487,-111.26759726270036,-1.2117611e-05,40.50000374807195,14.71556282043457,-5.634543125537236,4875.869923114777
-2.2869747339402617,1.152453899383545,1930000,0.1317441463470459,24.120407581329346,25.4053635597229,192,-0.020234125,8.67045283317566,100,72.69438732477617,-93.56531930490428,-1.20801415e-05,29.499200676998473,14.718135356903076,-5.868608068479029,4901.348928689957
6.52969383008395,1.1934552192687988,1940000,0.15839862823486328,24.070674180984497,25.423292636871338,193,-0.019148527,8.615389108657837,100,109.10733897517268,-78.43276837147864,-1.2048565e-05,32.48218704704849,14.736401319503784,8.350810974600732,4926.842032670975
-0.6119519464803146,1.146118402481079,1950000,0.14467787742614746,23.93333888053894,25.224801063537598,194,-0.019275883,8.601549625396729,100,105.65009132978552,-104.48023473468092,-1.204047e-05,42.037650661209184,14.61008596420288,-2.3006027602344115,4952.141003847122
3.6952367350631357,1.1649279594421387,1960000,0.13291692733764648,24.063159704208374,25.361764669418335,195,-0.017641155,8.549880027770996,100,95.24768974255558,-90.98915822084966,-1.203959e-05,42.274622972199516,14.791702032089233,2.46165166058244,4977.568987131119
3.214333704818606,1.1684763431549072,1970000,0.1334691047668457,24.097302675247192,25.399986743927002,196,-0.020099945,8.630330562591553,100,96.18886489761123,-90.49144740330118,-1.202396e-05,38.83084815254108,14.726708889007568,2.159536865428592,5003.035121917725
3.100481672455921,1.1636261940002441,1980000,0.12671780586242676,23.997889041900635,25.288918256759644,197,-0.017562099,8.597967624664307,100,117.97313799321995,-115.46513963476548,-1.2047372e-05,40.35953809621245,14.67201828956604,2.882274365160171,5028.395913600922
0.5796129586985893,1.1942768096923828,1990000,0.1313643455505371,24.034082412719727,25.360342025756836,198,-0.020077448,8.607319593429565,100,98.7373218486309,-140.00926374813582,-1.2011202e-05,40.80619113521365,14.68834376335144,-1.6410559031518763,5053.83415555954
4.257355920206392,1.149714469909668,2000000,0.12418746948242188,24.13457441329956,25.409098625183105,199,-0.019885138,8.63415789604187,100,167.62968653849438,-92.67181028692873,-1.1992644e-05,46.115705539615405,14.769562244415283,4.903328885242908,5079.314400196075
1.0385963528778188,1.178765058517456,2010000,0.13103818893432617,23.98278284072876,25.293222188949585,200,-0.018770184,8.557773351669312,100,110.30510637713346,-97.68246080495273,-1.19888155e-05,37.71810535240422,14.703206539154053,-0.12340736461691186,5104.676951646805
4.91939755125122,1.1544814109802246,2020000,0.14446115493774414,23.87184715270996,25.17167329788208,201,-0.020554598,8.6090669631958,100,106.04105849549067,-81.48934165838776,-1.1961382e-05,35.46591129410941,14.540563583374023,3.0799586783110304,5129.911098003387
7.235109086489131,1.1529273986816406,2030000,0.15849566459655762,24.043068647384644,25.355235815048218,202,-0.021155858,8.603602409362793,100,102.2095404345688,-82.65939362678075,-1.1957535e-05,39.74943656946328,14.718201160430908,10.258226580185601,5155.329472541809
3.863023730629617,1.1607029438018799,2040000,0.1268482208251953,23.947429418563843,25.235740423202515,203,-0.020061167,8.582062244415283,100,94.28146338396492,-96.2575429723798,-1.1935325e-05,40.55087934598942,14.642854690551758,4.057480632659861,5180.639519691467
4.331013467990129,1.152958869934082,2050000,0.13393592834472656,24.091853618621826,25.379526138305664,204,-0.019231245,8.60892939567566,100,113.60356108901152,-85.50784718278624,-1.193857e-05,35.282055580332084,14.744534730911255,4.230755575877722,5206.08648109436
-0.2223501125366554,1.1517572402954102,2060000,0.12478780746459961,24.02164077758789,25.29885721206665,205,-0.020240933,8.617642164230347,100,106.93152242574911,-109.94988336318359,-1.1924774e-05,44.172312763273574,14.673573017120361,-2.116303695189964,5231.452921152115
3.9634217904310525,1.1535532474517822,2070000,0.1442408561706543,24.031985998153687,25.33049249649048,206,-0.020029541,8.64487886428833,100,108.36166775545597,-105.23091627668543,-1.1919364e-05,40.700170279683206,14.65470027923584,1.9311909716104834,5256.859150886536
1.767468018840084,1.1655082702636719,2080000,0.1357402801513672,23.975077867507935,25.277095794677734,207,-0.019431015,8.594676971435547,100,126.4101234868715,-112.85670495026108,-1.1902386e-05,43.725472275536966,14.6449453830719,0.07432162982570546,5282.214814901352
6.208236216427285,1.1677167415618896,2090000,0.13133811950683594,24.007801294326782,25.307544708251953,208,-0.021423327,8.609577894210815,100,107.1659480601093,-110.30944707502623,-1.1863605e-05,42.20969485583061,14.673638820648193,5.635218367165504,5307.594927310944
8.5437495023363,1.1575610637664795,2100000,0.1392371654510498,23.953643321990967,25.251230001449585,209,-0.021916645,8.60817551612854,100,145.6723407782611,-85.86340000348028,-1.1877936e-05,40.346790908917825,14.628468036651611,9.942603207366812,5332.917819261551
4.111184099392463,1.12367844581604,2110000,0.13103628158569336,23.981398820877075,25.23753595352173,210,-0.02326413,8.59735894203186,100,120.34609681757036,-85.50852180130718,-1.1865669e-05,41.2755475692112,14.658962488174438,3.8050166657787474,5358.220533847809
4.561410169203343,1.1456308364868164,2120000,0.14116954803466797,24.05871891975403,25.346192598342896,211,-0.020314237,8.637779235839844,100,124.5967010681645,-146.67058231201116,-1.1806e-05,44.98725808883687,14.686083555221558,3.648774869255793,5383.6344175338745
8.56798115334068,1.1654508113861084,2130000,0.1656477451324463,24.16224956512451,25.49410605430603,212,-0.02367782,8.593024730682373,100,103.16376072081417,-61.94401121682412,-1.1833381e-05,36.52252936205961,14.848138093948364,9.812225094809607,5409.1943917274475
8.49698390973723,1.1643548011779785,2140000,0.13338232040405273,24.007065534591675,25.305487155914307,213,-0.020553902,8.621927261352539,100,115.21581544709429,-97.91052297370797,-1.1791177e-05,38.932321015742126,14.667418241500854,9.510827764515268,5434.577103614807
-0.042577042899476114,1.1462998390197754,2150000,0.12709879875183105,23.956013441085815,25.23012113571167,214,-0.020994764,8.573896884918213,100,130.20917029657716,-119.12924407423816,-1.176743e-05,42.607851781222806,14.653003215789795,-3.8607926175952034,5459.879202127457
8.31829287774766,1.1813061237335205,2160000,0.14608979225158691,24.037537336349487,25.36660122871399,215,-0.020893876,8.597926378250122,100,112.17779400609032,-111.13438161250772,-1.1728723e-05,43.58076555119237,14.719682455062866,9.67750616231886,5485.31451010704
3.9161748242419687,1.1536262035369873,2170000,0.1352832317352295,24.07929039001465,25.369516849517822,216,-0.020670451,8.587075233459473,100,113.93677868544287,-93.80419626648172,-1.1742943e-05,39.695235210968384,14.77541995048523,2.9114018027819,5510.756435632706
7.0862933406044055,1.1657078266143799,2180000,0.1351485252380371,24.204079151153564,25.5059711933136,217,-0.021726284,8.653808832168579,100,102.67803186460301,-75.23609609755063,-1.1728876e-05,37.27924725459056,14.8064546585083,7.304469323146424,5536.333192110062
10.409432161555532,1.1486485004425049,2190000,0.13422012329101562,24.06663942337036,25.350752353668213,218,-0.020627262,8.623477458953857,100,94.69118332078216,-69.56371119161196,-1.1684619e-05,36.9173376149432,14.720972776412964,11.544624663323717,5561.762174367905
10.28804070721123,1.1829862594604492,2200000,0.18055129051208496,23.88550877571106,25.250970363616943,219,-0.020441739,8.576947450637817,100,112.67158752706771,-108.44461888259326,-1.1686722e-05,39.63221622549241,14.573121547698975,13.373441065846237,5587.091943025589
5.512909577617197,1.4236087799072266,2210000,0.16602039337158203,23.708218336105347,25.29969835281372,220,-0.022124346,8.550211668014526,100,97.95794696827207,-103.53704210676236,-1.1663036e-05,40.35562975778134,14.435068607330322,5.260010615868264,5612.457290649414
5.539210299107614,1.6866662502288818,2220000,0.19965147972106934,23.58899188041687,25.476582765579224,221,-0.02097836,8.508398056030273,100,135.78705805848043,-73.09629303341858,-1.1644806e-05,37.24863852921798,14.360275745391846,4.849639834494489,5638.000643730164
7.839799494057876,1.8301291465759277,2230000,0.12932562828063965,23.481455326080322,25.441654682159424,222,-0.021676905,8.518699645996094,100,112.49491369394359,-73.49077950814973,-1.165513e-05,40.59300453544596,14.247986078262329,9.236499086000428,5663.504432439804
3.593309631403516,1.4680707454681396,2240000,0.13689279556274414,23.367339611053467,24.973015308380127,223,-0.021288818,8.454123973846436,100,104.14116521982034,-83.33213931404707,-1.1661511e-05,35.918387941899184,14.20488166809082,1.5257792982144756,5688.551656246185
