LossAfter,train-EnvExecTime,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,train-MaxReturn,train-PolicyExecTime,Time-Sampling,n_timesteps,Time,Time-SampleProc,train-NumTrajs,Itr,LossBefore,ItrTime,train-MinReturn,Time-Optimization
-0.0014125105,2.9129185676574707,144.08599863339398,259.5832806815721,8.265205648358073,267.93718663296715,4.153722286224365,7.2793920040130615,1490000,1107.7475202083588,0.08139991760253906,100,148,-7.2072185e-06,7.678202867507935,208.04683061547536,0.31716084480285645
-0.0010046923,2.689643383026123,143.85818421951979,259.8948756175266,4.946296739683393,268.14574623283517,3.7751893997192383,6.663448333740234,1500000,1114.8151080608368,0.0612032413482666,100,149,-7.145589e-06,7.051607131958008,240.2851247220228,0.32625651359558105
0.010220514,2.655855894088745,143.80112289973314,259.23894809048716,6.564950937835605,276.2725545957403,3.7458200454711914,6.597279787063599,1510000,1121.8581442832947,0.04481005668640137,100,150,-7.0936417e-06,7.029582262039185,228.59890129903752,0.3870835304260254
0.002481303,2.8785181045532227,142.79509555870328,256.61197540688335,10.519657922471213,268.31585049260144,4.0502777099609375,7.139388084411621,1520000,1129.435026884079,0.14003777503967285,100,151,-7.0801466e-06,7.562492847442627,220.24476791157537,0.28283023834228516
0.006303547,2.70358943939209,141.46086058367192,253.33638045258306,11.436634563131625,266.715799303442,3.8536183834075928,6.758660316467285,1530000,1136.5994057655334,0.04696464538574219,100,152,-7.0435426e-06,7.154287576675415,197.1443905243677,0.3482182025909424
0.003497165,3.0475637912750244,143.3187273470296,257.4950090853308,7.902006284686961,265.85210612176536,4.359380483627319,7.629060745239258,1540000,1144.6145899295807,0.10541081428527832,100,153,-7.002303e-06,8.001993179321289,220.3754360819833,0.26723575592041016
-0.0051475666,2.78216814994812,143.74384213467576,259.28891039911434,4.6261321105639786,268.1903121910432,3.947817087173462,6.9349260330200195,1550000,1151.8534846305847,0.055054426193237305,100,154,-6.998143e-06,7.2271270751953125,239.51319753360093,0.2368907928466797
-0.00081939774,2.8142948150634766,143.8002137626141,259.1931444974184,5.59224336987403,266.0459281219251,3.9681615829467773,6.988592863082886,1560000,1159.162665605545,0.08330392837524414,100,155,-6.9876287e-06,7.298827648162842,238.87928174432616,0.2266547679901123
0.0010441323,2.780656576156616,143.4082050253143,258.6108655903825,9.547389612901627,269.64069910131144,3.951850175857544,6.938408851623535,1570000,1166.4275240898132,0.08324956893920898,100,156,-6.9510465e-06,7.255171060562134,214.2181752675974,0.23328566551208496
0.0061897202,2.6604154109954834,143.0842230173119,259.56362036119896,6.8013934703039896,268.89427216106844,3.8114068508148193,6.667099714279175,1580000,1173.4139029979706,0.07785964012145996,100,157,-6.938669e-06,6.974827766418457,226.18856046533483,0.22960305213928223
