train-NumTrajs,Time-Sampling,train-MinReturn,train-PolicyExecTime,train-EnvExecTime,train-StdReturn,Itr,LossAfter,LossBefore,Time-SampleProc,n_timesteps,Time,ItrTime,Time-Optimization,train-MaxReturn,train-AverageReturn,train-AverageDiscountedReturn
100,25.637609481811523,193.73415917717412,14.050608158111572,10.90391993522644,9.047929356910622,138,-0.00082722405,-9.377503e-06,0.11632919311523438,1390000,3801.190896511078,26.829904556274414,1.0752604007720947,262.4989830910875,249.60785479679478,139.53539160032716
100,25.586669206619263,234.59805560764207,14.097157955169678,10.79812741279602,6.61793356237345,139,0.031022552,-9.334654e-06,0.1235954761505127,1400000,3828.0305733680725,26.776866674423218,1.0658488273620605,263.045061130107,251.79531853303507,140.35830687068136
100,25.602159023284912,208.30142946127526,14.045259475708008,10.873897790908813,9.742579040968778,140,0.025745384,-9.323628e-06,0.12417078018188477,1410000,3854.885256290436,26.786333322525024,1.0593607425689697,261.8438441018165,246.44190980664814,138.50077530666178
100,25.641624212265015,192.6721812648903,14.028908491134644,10.923622369766235,12.629236719912768,141,-0.004165448,-9.305805e-06,0.11783576011657715,1420000,3881.7989032268524,26.85320258140564,1.0930063724517822,261.4681200092801,237.7200492181215,134.6916596555031
100,25.713876485824585,192.5739986959807,14.094116449356079,10.928763389587402,15.18452126333545,142,-0.004431812,-9.272742e-06,0.13142609596252441,1430000,3908.797500371933,26.942150831222534,1.0961711406707764,260.4741484724587,242.5304760773783,136.74343567153406
100,25.68525719642639,194.81869114217093,14.129998207092285,10.853967905044556,11.50123332863617,143,-0.0034975638,-9.23666e-06,0.13463664054870605,1440000,3935.7530047893524,26.88788890838623,1.0672845840454102,264.080304691312,248.65479590724186,139.3986742091257
100,25.654608964920044,210.29002397808378,14.111417770385742,10.857788562774658,9.809411710639004,144,-0.0007896097,-9.215529e-06,0.12045979499816895,1450000,3962.6451144218445,26.816798210144043,1.0406334400177002,263.57645851337463,250.213001018917,139.70796894367516
100,25.52981400489807,196.56447976991961,14.059972047805786,10.779378890991211,8.620040368437497,145,-0.0038231513,-9.16228e-06,0.12108111381530762,1460000,3989.4131093025208,26.703189373016357,1.0515508651733398,263.65798024895827,252.28866212425964,140.7149695271023
100,25.677116870880127,205.04020907781722,14.131832838058472,10.855783224105835,10.05448479295357,146,0.003767884,-9.1500515e-06,0.125593900680542,1470000,4016.3795585632324,26.9037184715271,1.0999963283538818,267.0401191005742,251.24510918898434,140.41116377546592
100,25.577157974243164,193.42592039197206,14.037603616714478,10.852876663208008,9.652725041816087,147,0.0049422476,-9.127052e-06,0.1395554542541504,1480000,4043.2192788124084,26.77207660675049,1.0545735359191895,263.209578633657,250.24671281080816,139.65169782337514
100,25.54313564300537,233.8055419761117,14.008159875869751,10.851707458496094,6.3268093614079,148,0.036172524,-9.10124e-06,0.11836409568786621,1490000,4070.0332884788513,26.74976921081543,1.087562084197998,262.67626745788357,253.61678582262562,141.5857903417459
100,25.53824782371521,205.0652265475236,14.017970085144043,10.836698293685913,10.759931612804774,149,-0.0029642943,-9.07679e-06,0.12353801727294922,1500000,4096.825976848602,26.730478763580322,1.0680246353149414,265.0116908336898,247.47902741125733,139.11168898592496
100,25.56693387031555,199.84389873224993,14.070196866989136,10.801198482513428,11.44966434156417,150,0.0024746954,-9.058928e-06,0.14757633209228516,1510000,4123.714502573013,26.826767444610596,1.1116619110107422,264.9476151674932,250.3255278259204,140.1999705527328
100,25.511492013931274,219.6736810127739,14.091219663619995,10.734494924545288,7.185169619320169,151,0.0012736876,-9.026483e-06,0.15493488311767578,1520000,4150.531124830246,26.745049953460693,1.0778982639312744,265.55024890638987,255.3607156531311,142.2771855156915
100,25.483145475387573,236.60043294647065,14.036019563674927,10.753382921218872,5.952376998057752,152,0.003909023,-8.994798e-06,0.11532139778137207,1530000,4177.245507001877,26.649970293045044,1.0507500171661377,263.6691142171414,254.72835667001291,141.70703754085017
100,25.43066143989563,229.93609391946669,14.063392877578735,10.685227632522583,5.781090302339809,153,-0.0027455434,-8.973427e-06,0.1124422550201416,1540000,4203.942931890488,26.63283634185791,1.0890541076660156,265.74382615430534,256.0657567820814,142.69770760843707
100,25.49414587020874,220.67938887619653,14.086791515350342,10.714231729507446,7.213059355256436,154,-0.0040080138,-8.910087e-06,0.1174612045288086,1550000,4230.6992473602295,26.697091102600098,1.0847663879394531,266.3187573951694,256.09651672575967,142.666114569703
100,25.461551904678345,201.3775771973949,14.074639558792114,10.698512315750122,9.962555060495255,155,-0.004275517,-8.911069e-06,0.11815738677978516,1560000,4257.410482645035,26.654071807861328,1.0737502574920654,267.9548223075999,254.6454422744101,142.17668390830116
100,25.701627492904663,228.68033149517296,14.183223485946655,10.82876205444336,5.593613762609073,156,-0.0044847555,-8.906125e-06,0.14678144454956055,1570000,4284.392542123795,26.922482013702393,1.0733017921447754,267.55772247981184,258.0758150711589,143.57490210426374
100,25.427364349365234,222.39779617388774,14.019191980361938,10.721803188323975,8.614266672816663,157,-0.00060829293,-8.8523275e-06,0.11623740196228027,1580000,4311.068822860718,26.616957664489746,1.0727348327636719,266.17330810396334,256.03274316418555,142.85400904176436
100,25.504315614700317,224.25925472227752,14.010429859161377,10.798997402191162,7.745853600573429,158,-0.0044615027,-8.806795e-06,0.11401915550231934,1590000,4337.850628376007,26.72212243080139,1.1031322479248047,268.6491624747505,257.9783769516685,143.81987995772525
100,25.516376733779907,229.23488433344716,14.080533504486084,10.750261068344116,6.9061991410689965,159,0.007912453,-8.765238e-06,0.11772680282592773,1600000,4364.610085964203,26.693613052368164,1.0588099956512451,269.12789163105236,258.9634286176712,143.97188499207638
100,25.515923976898193,227.62107688818986,14.161548376083374,10.66314697265625,6.8601435949234775,160,0.0072035096,-8.722039e-06,0.11719560623168945,1610000,4391.3796401023865,26.708881855010986,1.0750670433044434,269.35234738182317,259.1592475515449,143.84924890765637
100,26.23136258125305,212.89381439790623,14.504355907440186,11.024431228637695,8.115347496174033,161,0.012032076,-8.725692e-06,0.13753175735473633,1620000,4418.893080949783,27.448892831802368,1.0792503356933594,271.26999863366075,258.66784774877465,143.61116196346669
100,25.47271180152893,229.97954877091118,13.997795104980469,10.783557415008545,6.478812942350974,162,-0.0018608136,-8.681722e-06,0.11682486534118652,1630000,4445.6186554431915,26.656614065170288,1.0662028789520264,268.96524328467285,259.75209634451267,144.5082720667955
