LossAfter,train-MaxReturn,Itr,LossBefore,train-NumTrajs,Time-SampleProc,train-AverageReturn,Time-Optimization,train-EnvExecTime,n_timesteps,Time,ItrTime,train-MinReturn,Time-Sampling,train-PolicyExecTime,train-StdReturn,train-AverageDiscountedReturn
-0.003526988,243.681786466041,66,-1.0809506e-05,100,0.04648709297180176,232.36299198073408,0.22927141189575195,2.7052884101867676,670000,477.72283697128296,7.011221885681152,196.6117244882658,6.735132932662964,3.8249714374542236,7.791332046169471,132.8600506151836
-0.0042995126,241.75761097025213,67,-1.0775509e-05,100,0.09896636009216309,231.90579717109944,0.35187339782714844,3.3828752040863037,680000,486.945942401886,9.211850881576538,180.5311561361544,8.760540008544922,5.12478494644165,8.028091406124078,132.68246075359448
-0.0047387145,245.0850230995002,68,-1.0714248e-05,100,0.06459188461303711,232.99146391903662,0.29695844650268555,3.479341506958008,690000,496.53101086616516,9.573460340499878,166.07948189994144,9.211366415023804,5.460838794708252,9.289705348551946,133.2129787670714
-0.0031579197,242.09024496825313,69,-1.0671108e-05,100,0.05035209655761719,233.60840578360407,0.25937700271606445,2.969442129135132,700000,504.4903554916382,7.946632385253906,215.88995714731905,7.636492013931274,4.435419797897339,5.318836198861335,133.45307810434343
-0.0023139743,245.28411549566584,70,-1.0625515e-05,100,0.04245924949645996,233.943843971762,0.29920363426208496,3.1268510818481445,710000,512.8795280456543,8.377568244934082,206.39429352252444,8.035647869110107,4.66612696647644,5.5992311824089,133.5936059037988
-0.005417525,244.36667965590755,71,-1.0579453e-05,100,0.051909446716308594,233.94443374992858,0.28983473777770996,3.1570863723754883,720000,521.349846124649,8.458193063735962,222.5684753775349,8.116106033325195,4.714895486831665,4.7445767076513095,133.5801632122304
-0.0022575979,243.26080291429426,72,-1.0538788e-05,100,0.04922032356262207,233.56849427958153,0.28247737884521484,3.103423595428467,730000,529.6796653270721,8.316548109054565,199.31837829373163,7.984410047531128,4.6402058601379395,7.520369691355646,133.37823758287482
-0.00047715488,245.3852668207409,73,-1.05043155e-05,100,0.045307159423828125,233.30805470620808,0.26466989517211914,3.07533597946167,740000,537.9428036212921,8.249862670898438,200.00389768594934,7.939570426940918,4.6267406940460205,7.028407436561623,133.42323307182576
-0.0038317011,244.94787790048028,74,-1.0463661e-05,100,0.04292464256286621,234.1155587216351,0.26030850410461426,2.9927327632904053,750000,545.9355905056,7.981050729751587,210.09804290294272,7.6774492263793945,4.4512083530426025,5.69986325990481,133.71982620403077
-0.0056757224,243.54730581785032,75,-1.0426567e-05,100,0.06529355049133301,235.06641098421954,0.2657501697540283,2.9267072677612305,760000,553.8170456886292,7.870448350906372,202.00830964054853,7.538960933685303,4.384047269821167,5.58721590307856,134.06257806534498
-0.003939035,245.67952390699753,76,-1.0366441e-05,100,0.04525470733642578,234.8891124383256,0.25765490531921387,3.0147852897644043,770000,561.872142791748,8.043373107910156,211.25375753799585,7.740167140960693,4.495495557785034,5.397505448598289,134.07198044784434
-0.0025964899,247.00464739337733,77,-1.0302907e-05,100,0.06722545623779297,234.78285231189355,0.2691526412963867,3.1869308948516846,780000,570.5152740478516,8.630468606948853,177.1272224000362,8.293213605880737,4.862504005432129,8.235280684933215,134.00399693301458
-0.0021548236,245.10919147183571,78,-1.0258877e-05,100,0.05930304527282715,234.6876614899332,0.27646493911743164,2.9332919120788574,790000,578.4292197227478,7.90250825881958,169.39811398295492,7.5663933753967285,4.407090187072754,10.284347597517208,133.89374892034454
-0.0043987185,245.02027039190733,79,-1.0212818e-05,100,0.0984187126159668,236.11110560685123,0.27271485328674316,3.087440252304077,800000,586.748165845871,8.3067307472229,214.47939691936608,7.935314655303955,4.607157945632935,5.296677861307744,134.60854337242134
