n_timesteps,train-MaxReturn,train-StdReturn,train-MinReturn,LossAfter,Time-Sampling,ItrTime,Itr,Time,train-AverageReturn,Time-Optimization,train-AverageDiscountedReturn,train-PolicyExecTime,LossBefore,train-EnvExecTime,Time-SampleProc,train-NumTrajs
1010000,275.4997855625294,5.7946941531944836,228.30496177356414,0.0022089721,26.085920572280884,27.278460264205933,100,2734.712440252304,266.13911116467216,1.0807714462280273,146.63543074910325,14.333875894546509,1.2207031e-08,11.041092872619629,0.11105465888977051,100
1020000,275.9848816057787,16.02361430976117,141.387115398136,-0.0034477052,25.607997179031372,26.806713581085205,101,2761.5773282051086,264.4567177869669,1.0856540203094482,145.8814091871348,14.02245831489563,3.0517577e-09,10.885397911071777,0.1124880313873291,100
1030000,279.9990157409192,6.359176529948614,218.63854261221374,0.00089328,25.478968620300293,26.688007354736328,102,2788.3303973674774,266.32875657248786,1.0897846221923828,146.66378282767394,13.969028949737549,1.2207031e-08,10.81948733329773,0.11850190162658691,100
1040000,274.03064801849337,4.3441291675576625,242.4153737648186,-0.0015854095,25.536774158477783,26.712433576583862,103,2815.1056106090546,267.53708769535746,1.059758186340332,147.20759846642844,14.026329517364502,-1.5258789e-09,10.81874704360962,0.11516523361206055,100
1050000,275.4052073631646,16.133152656585978,110.5089350853089,-0.002474707,25.51509952545166,26.692810773849487,104,2841.8608362674713,266.8138456146971,1.0677745342254639,146.97610544300912,14.027636051177979,-6.1035155e-09,10.799232721328735,0.1092677116394043,100
1060000,275.8357860752289,3.509461569182147,256.45670857576624,-0.0025399749,25.5647873878479,26.755895853042603,105,2868.676028728485,267.74365375759805,1.0817899703979492,147.2748424139966,14.007506370544434,-9.155274e-09,10.861599922180176,0.10854434967041016,100
1070000,277.62407529869006,3.567598040159289,256.62907826247095,0.0027545874,25.563982248306274,26.7508282661438,106,2895.49188375473,268.30845832843073,1.0695040225982666,147.55904923105382,14.011330604553223,-1.5258789e-09,10.856765747070312,0.1165776252746582,100
1080000,277.41720271607556,4.1190961006171,253.99918172665542,0.0026594421,25.442467212677002,26.65439009666443,107,2922.2078428268433,268.44932412767383,1.0689671039581299,147.71876326419294,13.946216583251953,-4.2724608e-08,10.807495355606079,0.14215826988220215,100
1090000,282.3217145764445,4.390458189652061,252.3096867899372,0.0010570069,25.50040102005005,26.689602375030518,108,2948.957588672638,268.87182246779196,1.0777196884155273,147.7763258176561,13.938084840774536,-6.1035155e-09,10.869574308395386,0.11090850830078125,100
1100000,280.712681462358,39.05806935145153,79.1848265855048,0.0114224795,25.633238077163696,26.830037117004395,109,2975.850597381592,258.07433306529515,1.0851099491119385,141.4203434121563,14.040024042129517,3.967285e-08,10.901149272918701,0.11104726791381836,100
