ItrTime,LossBefore,n_timesteps,Time-SampleProc,Time-Optimization,train-MinReturn,Time,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-NumTrajs,train-EnvExecTime,train-StdReturn,Itr,LossAfter,train-MaxReturn,Time-Sampling
6.889642000198364,-6.1706573e-06,1700000,0.039071083068847656,0.22526264190673828,260.9080723238548,1252.6693873405457,148.74631011269955,271.03967239073705,3.7443559169769287,100,2.6529626846313477,2.845679549712564,169,0.00027827264,276.8185707079189,6.62505578994751
7.213604211807251,-6.1374794e-06,1710000,0.08079051971435547,0.2355329990386963,166.47359382362964,1259.8930253982544,146.81667117673533,266.433444865973,3.9147162437438965,100,2.7648158073425293,16.453987867612977,170,0.0006312238,277.7301898713348,6.892224073410034
7.286796569824219,-6.0851803e-06,1720000,0.04502701759338379,0.21765971183776855,172.82580497551325,1267.1914739608765,146.78285177365834,265.9279232356672,4.004457712173462,100,2.807535409927368,18.077441577849665,171,-0.005188064,278.7758736864752,7.023885011672974
7.166494607925415,-6.0660545e-06,1730000,0.04349994659423828,0.22903895378112793,260.49223394409506,1274.3682315349579,149.1078919685686,271.4637957570031,3.9056060314178467,100,2.7778825759887695,3.334056003100862,172,-0.0010646923,277.9842400465703,6.893739700317383
7.196421384811401,-6.019377e-06,1740000,0.08394312858581543,0.20871901512145996,248.99667136275798,1281.5766487121582,148.3005468857782,269.47427868219734,3.922137498855591,100,2.7714574337005615,5.297834915793749,173,-0.004296066,278.2858372992355,6.902937173843384
7.144760370254517,-5.966563e-06,1750000,0.046727895736694336,0.2375802993774414,252.13197776988585,1288.7313208580017,148.88676599914368,271.04836959372716,3.9071080684661865,100,2.743736982345581,4.076248711452261,174,0.00092774443,278.21960534474664,6.860074281692505
7.767624139785767,-5.9103872e-06,1760000,0.08348321914672852,0.24826264381408691,198.3200311865843,1296.5109498500824,147.75437764590276,268.5002239738691,4.229135274887085,100,2.9844205379486084,9.507163879262718,175,0.002556404,276.3460633870151,7.435635089874268
7.1712915897369385,-5.8946566e-06,1770000,0.039947509765625,0.2318096160888672,170.03225602534363,1303.6946368217468,148.05574541357745,268.7518927947316,3.921935796737671,100,2.764096736907959,10.383034571164751,176,0.0018010983,275.3759024324662,6.899261713027954
7.212735652923584,-5.8317664e-06,1780000,0.08457708358764648,0.1986072063446045,246.15394610844848,1310.9181792736053,147.75956662740373,267.69281696298685,3.961759567260742,100,2.759389638900757,4.711580726366429,177,0.003626205,275.1017291787436,6.929332733154297
7.153043031692505,-5.7954167e-06,1790000,0.041913747787475586,0.22371149063110352,249.3350824957859,1318.0832777023315,147.50065867391027,266.8888214875596,3.926504135131836,100,2.748728036880493,5.058198758472875,178,-0.0019849248,275.5525571336309,6.886903285980225
7.171308755874634,-5.749698e-06,1800000,0.07580208778381348,0.21205472946166992,170.7353084348441,1325.2634661197662,148.08444849451723,268.47857824005155,3.909022808074951,100,2.7655653953552246,10.499913054945383,179,-0.0026978427,275.49520638551405,6.883215427398682
7.110779285430908,-5.7018397e-06,1810000,0.03987932205200195,0.24087309837341309,242.5621027814609,1332.3881883621216,148.0236845917913,268.08704364571366,3.8922104835510254,100,2.7298176288604736,4.944973358106175,180,-0.0019800696,276.35366055671767,6.829681396484375
7.7919535636901855,-5.6830754e-06,1820000,0.04359769821166992,0.22551798820495605,251.18201211029722,1340.1909284591675,148.55970081854255,269.44287148395574,4.263042449951172,100,3.0351462364196777,3.830492938557035,181,0.0029912987,276.76650879300115,7.522562265396118
7.242085695266724,-5.61253e-06,1830000,0.04087567329406738,0.2268505096435547,254.33403975974227,1347.4443488121033,148.50051930845638,269.46965746636283,3.9678144454956055,100,2.7965545654296875,3.6106170966703357,182,0.000357004,275.40235547976033,6.9740965366363525
7.15709924697876,-5.582586e-06,1840000,0.04546213150024414,0.2156224250793457,249.90467685313868,1354.6107215881348,148.52078854741464,269.24920443310157,3.9031031131744385,100,2.7763876914978027,3.729012222177171,183,0.0054381415,275.7300980330907,6.895765781402588
7.19665265083313,-5.5506594e-06,1850000,0.04523611068725586,0.22979950904846191,242.95969156563862,1361.8173987865448,148.75218412987567,270.1525172590008,3.938178777694702,100,2.766406297683716,3.849639748992313,184,-0.0014008327,277.6363164896941,6.921249628067017
7.158370018005371,-5.5035857e-06,1860000,0.07778310775756836,0.22606849670410156,191.4997894273529,1368.9851834774017,148.14311579287047,268.5819747879437,3.8946666717529297,100,2.7436470985412598,9.724330332354526,185,0.007937006,276.2078573839285,6.854319095611572
7.0715415477752686,-5.4733955e-06,1870000,0.04372906684875488,0.22609663009643555,256.36318769445785,1376.0686247348785,149.12512818975182,271.07410658087446,3.844871997833252,100,2.74845290184021,2.853357797601125,186,0.0061237533,275.6687398208571,6.8014233112335205
7.419065475463867,-5.426614e-06,1880000,0.09308624267578125,0.25667238235473633,264.6414924739788,1383.4993603229523,149.1712539511601,270.9511310949607,4.000978469848633,100,2.852383852005005,2.422091250436266,187,-0.00085459143,276.7900942529419,7.069039821624756
7.562114000320435,-5.3721187e-06,1890000,0.04461359977722168,0.220566987991333,249.2673935106074,1391.0736830234528,149.37521888076077,271.4979063276805,4.142474174499512,100,2.9322657585144043,3.884619509613115,188,0.0012967731,277.4166181162969,7.296614170074463
