train-PolicyExecTime,Time-Optimization,train-AverageReturn,n_timesteps,LossBefore,ItrTime,Time,Time-SampleProc,train-AverageDiscountedReturn,LossAfter,Time-Sampling,train-MinReturn,train-EnvExecTime,Itr,train-NumTrajs,train-MaxReturn,train-StdReturn
3.4851059913635254,0.22829413414001465,30.207440579237968,410000,-1.2593675e-05,5.956542491912842,411.9293146133423,0.029432296752929688,24.001526196478206,-0.002272045,5.698619604110718,25.022839516292425,2.0328032970428467,40,100,34.602784306820396,1.743440545101187
3.7278687953948975,0.21154284477233887,30.3985066682135,420000,-1.2528782e-05,6.3293232917785645,418.26753997802734,0.03264641761779785,24.177916080101408,0.0007144924,6.084890127182007,26.986582339035156,2.1608662605285645,41,100,34.39055633850289,1.4128649607025137
3.654956102371216,0.2405989170074463,30.744183327716055,430000,-1.2486649e-05,6.293196201324463,424.57063388824463,0.0386354923248291,24.423388332478485,0.016908228,6.013589859008789,27.709776056439793,2.1662890911102295,42,100,34.508866049988335,1.551188758584023
4.175939321517944,0.23762965202331543,31.11886152751156,440000,-1.2419394e-05,7.142708778381348,431.72535276412964,0.040247440338134766,24.53926825542699,0.00541425,6.864550590515137,27.257076386442183,2.4726274013519287,43,100,34.77616212216939,1.6977241823044735
4.836750507354736,0.2486429214477539,30.779311375151316,450000,-1.233618e-05,8.253987550735474,439.9901993274689,0.06994938850402832,24.31274534906059,-0.0021329361,7.924246549606323,-2.316474513907429,2.8409264087677,44,100,35.362029892669106,3.8667351918912862
4.077491760253906,0.22812795639038086,31.338032481120532,460000,-1.2300174e-05,6.945932149887085,446.9493546485901,0.03182053565979004,24.670536982984746,-0.0041585164,6.685738563537598,26.86355423032391,2.3958141803741455,45,100,35.93423214492186,1.5929070062477455
3.6145966053009033,0.22412872314453125,31.49043560232662,470000,-1.2236362e-05,6.225895881652832,453.1859941482544,0.06778407096862793,24.743458353565224,0.0011381698,5.931779623031616,27.899447321357428,2.1237781047821045,46,100,35.28680138837627,1.5733570993587145
3.5910959243774414,0.23244738578796387,31.830631725740208,480000,-1.2191806e-05,6.134483814239502,459.3302206993103,0.031531572341918945,25.07290648857416,-0.0031283388,5.870228290557861,28.359227561392267,2.0928080081939697,47,100,35.138457584788775,1.5814142056301346
3.5388801097869873,0.21240544319152832,31.914148560580905,490000,-1.2135524e-05,6.0951759815216064,465.4373388290405,0.05978035926818848,25.08851100151635,-0.0031995256,5.822750091552734,27.96751665503842,2.094714641571045,48,100,35.49898687156267,1.595716908331219
3.980647325515747,0.2345740795135498,32.19438232592788,500000,-1.2068239e-05,6.858967542648315,472.3063488006592,0.03714632987976074,25.196608340763017,-0.0033127475,6.587012052536011,28.72861057821798,2.3953850269317627,49,100,34.93320859251844,1.3770395588342224
