Time-Sampling,train-StdReturn,train-NumTrajs,train-AverageReturn,Time-Optimization,train-EnvExecTime,Time,LossAfter,Time-SampleProc,ItrTime,train-MaxReturn,LossBefore,n_timesteps,train-MinReturn,train-PolicyExecTime,Itr,train-AverageDiscountedReturn
22.6600341796875,4.468436523660059,100,-0.581848762968161,1.0714330673217773,7.9592509269714355,3296.8029477596283,-0.013419751,0.11215400695800781,23.84436583518982,7.948908245422276,-0.009900342,1350000,-10.310165297643364,14.015141248703003,134,-0.25917489491389284
22.713807344436646,4.5946146835650055,100,-0.7095342496739211,1.070728063583374,7.96842360496521,3320.7576262950897,-0.0020244874,0.10665535926818848,23.891836881637573,7.7682004321349325,-0.0006404724,1360000,-10.347073866679033,14.054304838180542,135,-0.33418355674263844
22.581592321395874,4.730322676559093,100,-1.0109418831826142,1.0804612636566162,7.962533235549927,3344.5942816734314,0.0049148924,0.11421871185302734,23.776927947998047,7.4511130051029335,0.008093091,1370000,-11.311436322150564,13.929717779159546,136,-0.5244545783697184
22.701964139938354,4.378556808581561,100,-1.7317605696452179,1.070713996887207,7.9543421268463135,3368.5417397022247,-0.0041443054,0.11493587493896484,23.88832998275757,7.002089823992692,0.008265369,1380000,-10.724243955116282,14.05338740348816,137,-0.9706159389619993
22.66896104812622,4.961005231384923,100,-1.0771908388045295,1.0500035285949707,7.963747262954712,3392.4315099716187,-0.03301455,0.11083698272705078,23.830607175827026,7.420699423734532,-0.005219952,1390000,-14.418999530775906,14.015787363052368,138,-0.6138523974862103
23.329225540161133,4.475466420673497,100,-1.6731021978549623,1.0716307163238525,8.134296894073486,3417.0046379566193,0.0006222961,0.11553740501403809,24.51736617088318,6.349237965670769,0.009116242,1400000,-13.258689420638953,14.504823923110962,139,-0.9320852498281006
22.652287244796753,4.868597696113395,100,-1.009889024694215,1.0846450328826904,7.911118268966675,3440.954827070236,-0.0214107,0.14958667755126953,23.88832139968872,7.445787412791251,0.019962,1410000,-11.04795308799738,14.043273687362671,140,-0.5631629410238833
22.472415924072266,4.2525241793524735,100,-0.5831460187651993,1.1874666213989258,7.884429454803467,3464.8459112644196,-0.00074276124,0.1685023307800293,23.82996702194214,7.202043284157918,0.011564929,1420000,-10.50634352547255,13.906248807907104,141,-0.286070003981554
22.238797664642334,4.178730928949319,100,-0.8283184819545574,1.5037846565246582,7.823069334030151,3488.809851169586,-0.01627638,0.16533970832824707,23.90980839729309,7.58652015642131,-0.0006489319,1430000,-10.671487574877919,13.732664108276367,142,-0.40385582875776876
22.484631061553955,4.763453571348665,100,-1.5236368530195472,1.8453054428100586,7.935129880905151,3513.339426279068,-0.010745636,0.14053726196289062,24.471697092056274,7.332981928469079,-0.005515857,1440000,-11.402387509116096,13.862345457077026,143,-0.8601359344076159
22.53239917755127,4.579363343244022,100,-0.4794321571140315,1.702895164489746,7.946116924285889,3537.7910540103912,-0.0039566224,0.14442801475524902,24.38077139854431,7.460872697211191,0.008707128,1450000,-10.118118491037098,13.897936820983887,144,-0.20482437487111718
22.100401878356934,4.8767504797243575,100,-0.7160945334202959,1.5457582473754883,7.804769515991211,3561.6052765846252,-0.028671045,0.11235976219177246,23.759577989578247,7.678604473918288,-0.01837395,1460000,-11.67135697746184,13.624531030654907,145,-0.32851440600042303
22.31608533859253,4.8003034121619645,100,-1.2675918606761918,1.4291002750396729,7.863656997680664,3585.562738418579,0.0073826783,0.12969422340393066,23.876874685287476,7.772552590164808,0.024595257,1470000,-11.120643251322212,13.763852834701538,146,-0.6666473270151444
22.371896028518677,4.303305650970536,100,-1.0878553993051312,1.232442855834961,7.893946886062622,3609.364320039749,-0.006675122,0.11839079856872559,23.72390866279602,7.229064936048459,0.007622278,1480000,-9.429185246664794,13.79132866859436,147,-0.5834520381054193
22.402430057525635,4.609948849333987,100,-0.6117124750416328,1.0620722770690918,7.872435808181763,3633.0353524684906,-0.018884033,0.11953616142272949,23.586101293563843,7.808038861413133,-0.0056543825,1490000,-12.348628237267443,13.85344910621643,148,-0.27149163147322997
22.817200899124146,4.03399451279086,100,-0.22437153153200956,1.065105676651001,7.971839189529419,3657.0801742076874,-0.023850294,0.10668063163757324,23.989683628082275,7.264078075926848,-0.011758777,1500000,-10.595047200834408,14.154850721359253,149,-0.05009634497235515
22.808607578277588,5.0301437294483495,100,-0.7659770648791686,1.1043376922607422,7.983636140823364,3681.165360927582,-0.027818182,0.11113166809082031,24.024735689163208,7.217979602312966,-0.01836584,1510000,-12.695120671591287,14.117825269699097,150,-0.38509008971573594
22.687801361083984,4.424974848991777,100,-1.2515335452889178,1.1056396961212158,7.941563844680786,3705.125871896744,8.273926e-05,0.10654473304748535,23.900716066360474,7.295847816498853,0.012277747,1520000,-9.182452659211124,14.05613899230957,151,-0.6983503269775155
22.749332427978516,4.622508015566018,100,-0.9681556187783764,1.09885835647583,7.990067005157471,3729.150348186493,-0.0043809325,0.11522865295410156,23.96419334411621,7.8846681333277155,-0.0012351624,1530000,-10.412696466638641,14.07020616531372,152,-0.4858567083269727
22.57741951942444,4.327870732502059,100,-1.0610757792973802,1.0673494338989258,7.91913104057312,3752.959013938904,-0.015243079,0.10596299171447754,23.751441717147827,7.207635028167321,-0.009986865,1540000,-12.358204065798116,13.974678039550781,153,-0.5969618888048818
22.668599843978882,4.358554369118228,100,-0.7683527753506616,1.059582233428955,7.972462177276611,3776.8616721630096,-0.022928955,0.11918067932128906,23.848074436187744,7.603260440986434,-0.015171661,1550000,-10.428727728458504,14.008060455322266,154,-0.3376234726829611
22.68628716468811,4.716745479545399,100,-1.1467315284998205,1.057218313217163,7.955563068389893,3800.7848913669586,-0.020261267,0.12104082107543945,23.865343809127808,7.795458577312616,-0.011310413,1560000,-10.124852984199832,14.048923969268799,155,-0.6412100610254441
