Itr,train-EnvExecTime,Time-Optimization,train-StdReturn,train-NumTrajs,ItrTime,n_timesteps,Time,train-MaxReturn,train-AverageDiscountedReturn,train-PolicyExecTime,train-MinReturn,Time-Sampling,LossBefore,Time-SampleProc,LossAfter,train-AverageReturn
74,3.5521445274353027,0.6295719146728516,11.485104002129688,100,10.595626592636108,750000,680.8427917957306,38.57426528984788,5.162360846536118,6.065526723861694,-15.310512890348194,9.945447206497192,-0.0077668577,0.020327329635620117,-0.021256922,19.521283479839248
75,3.5112152099609375,0.6289882659912109,10.719860132233885,100,10.486705541610718,760000,691.3556520938873,41.706285113437445,6.287193444088181,5.9989213943481445,-15.664948205452626,9.838655471801758,-0.015023279,0.018679380416870117,-0.019123925,20.590026262069358
76,3.3966081142425537,0.5904407501220703,11.053788253778036,100,10.086008787155151,770000,701.4674661159515,38.590792160425835,6.765323158599581,5.76946234703064,-7.866359459829565,9.47760558128357,-0.005444971,0.017651081085205078,-0.012024781,21.38022240818922
77,4.444732189178467,0.7267129421234131,11.709482854030028,100,13.13680386543274,780000,714.6259014606476,42.18669609330974,5.723932450020538,7.53170371055603,-14.463809594928355,12.386453628540039,0.02953545,0.02327108383178711,0.024426794,19.88048791424068
78,3.5163793563842773,0.5087568759918213,11.71813279457384,100,10.363436937332153,790000,725.0246744155884,38.45181550037376,6.10335013928152,6.007694482803345,-18.250110630616938,9.842180728912354,-0.0021639892,0.012169122695922852,-0.011306299,20.20422279608914
79,2.7960996627807617,0.5172252655029297,11.744079524013435,100,8.412752151489258,800000,733.4559435844421,40.12244200400579,5.937748835336997,4.8244781494140625,-14.785832260704868,7.883183479309082,-0.013611927,0.012092113494873047,-0.03092892,19.856829619429647
80,3.2704527378082275,0.7576122283935547,12.282395583025497,100,9.937988758087158,810000,743.4107208251953,39.329448125869455,5.886202907503928,5.577337026596069,-16.857536641802596,9.153095245361328,0.012616113,0.026911497116088867,0.0016790772,19.928038320172284
81,3.5422163009643555,0.6331019401550293,12.855281631496412,100,10.542916536331177,820000,753.9891228675842,40.65291658035764,5.704516728236233,6.005635499954224,-37.21752842950721,9.886666059494019,-0.05517163,0.02273702621459961,-0.06882347,19.61060206458123
82,3.5033910274505615,0.9569168090820312,11.86566535048087,100,10.842169761657715,830000,764.8582978248596,39.30245089431128,5.61787718832714,6.043063163757324,-24.146554440821557,9.866934776306152,-0.004625659,0.017937183380126953,-0.011821985,19.767926505532188
83,4.55054235458374,0.5867416858673096,12.894150791546792,100,13.315393686294556,840000,778.2258722782135,44.85608143440268,6.528230376442131,7.747786045074463,-23.011342685087666,12.707663297653198,0.005720752,0.02062201499938965,-0.00049560546,20.701373851203094
84,2.844733476638794,0.5788323879241943,13.563894846856945,100,8.561974287033081,850000,786.8089156150818,43.51988334940332,7.080072321960834,4.8503806591033936,-28.941741690752025,7.966266870498657,-0.021527173,0.01660609245300293,-0.04239358,21.159933786140915
85,2.816969633102417,0.5838494300842285,13.069134754721938,100,8.544742107391357,860000,795.3759391307831,38.21853465115487,5.288228030821458,4.857171297073364,-31.725658260107558,7.946878910064697,-0.013622656,0.013697147369384766,-0.027467554,19.24591182268474
86,2.784701108932495,0.564215898513794,13.783498377588328,100,8.429094076156616,870000,803.8282210826874,41.32026445353242,5.644734543998781,4.788692474365234,-24.885240416055126,7.848254680633545,0.01565061,0.016290903091430664,0.015653016,19.7081267075591
87,3.889477252960205,0.5682299137115479,12.245484936058354,100,11.459648370742798,880000,815.3089501857758,36.004114596239084,4.287573076530987,6.6224071979522705,-18.725452176832,10.873172044754028,0.003064673,0.017915725708007812,-0.0020440186,17.91333533906257
88,3.458136558532715,0.6181678771972656,10.952216920422703,100,10.309613466262817,890000,825.6416997909546,41.39078118565191,7.305671724837256,5.896103382110596,-12.398993437387507,9.670512676239014,-0.0017541748,0.020574569702148438,-0.011898084,21.69553722231991
89,3.0913376808166504,0.5152029991149902,12.616249415807216,100,9.24079704284668,900000,834.9098765850067,43.317740227727306,6.057591349695279,5.332365989685059,-35.67999167044236,8.713243007659912,0.011451611,0.012101173400878906,0.0115106935,20.305508267050193
90,3.6115872859954834,0.6298789978027344,11.891956210660066,100,10.713562965393066,910000,845.6419773101807,39.475927923928175,6.451509580816127,6.123312473297119,-16.818891269504974,10.065010786056519,-0.002350537,0.018341541290283203,-0.009573267,20.621014615897742
91,3.053668737411499,0.7389650344848633,9.729469572855946,100,9.146612405776978,920000,854.814572095871,39.75517054596453,7.622565383578061,5.0636115074157715,-3.4977999606649584,8.395318984985352,-6.264648e-05,0.01193380355834961,-0.011443262,22.698161057367482
92,3.5417773723602295,0.6262650489807129,11.144246105741853,100,10.503591537475586,930000,865.3436069488525,39.13141136835493,6.650548907603005,5.9807000160217285,-19.76705954056055,9.852970600128174,0.015365417,0.019843101501464844,0.015626587,21.056610801836488
93,3.1195871829986572,0.5281758308410645,12.44497910848079,100,9.255776405334473,940000,874.6267855167389,41.731975077004066,6.274108995310991,5.3000264167785645,-22.384678216820937,8.712613582611084,0.027874341,0.014543533325195312,0.021162793,20.142881524504478
94,3.582970142364502,0.701042652130127,13.19459998360954,100,10.820108890533447,950000,885.465402841568,41.616427455959155,5.281066556765251,6.182184219360352,-19.74201023886843,10.099772691726685,0.0054341187,0.018988847732543945,-0.004490271,19.050590003431747
95,3.500363349914551,0.6236157417297363,13.438019230757655,100,10.46421194076538,960000,895.9561026096344,42.37043530449206,5.655009658442464,5.997516393661499,-34.71657215141413,9.821158170700073,0.011797217,0.01907181739807129,0.012148364,19.505868414604418
96,3.3719916343688965,0.5615336894989014,13.138818737479347,100,10.006117343902588,970000,905.9899005889893,41.22775721142107,5.93563936878523,5.746814966201782,-35.73132859753766,9.429962396621704,0.0020206543,0.014335393905639648,-0.0011107422,20.19522924928585
97,3.3374884128570557,0.5626339912414551,10.420631524517026,100,9.92049765586853,980000,915.9335641860962,40.210030061029855,6.820380211594296,5.697856426239014,-2.2247399582291294,9.3418550491333,-0.0015326783,0.015656709671020508,-0.0040581785,21.60233375231245
98,2.821014404296875,0.6603178977966309,11.307011804507402,100,8.636975288391113,990000,924.5921173095703,40.68698267919407,6.773075116980183,4.8632972240448,-13.760944538131954,7.960888624191284,-0.014681323,0.015426158905029297,-0.02409773,21.327011952352137
99,3.8040645122528076,0.578636646270752,11.603246426594536,100,11.23416519165039,1000000,935.8582878112793,42.11677137643677,6.509574595059876,6.48732590675354,-21.95381044187611,10.638827800750732,0.02015818,0.01639389991760254,0.014983691,20.675293813092654
100,2.8312387466430664,0.6359317302703857,11.446559759380486,100,8.616738319396973,1010000,944.4994320869446,40.512739243964575,7.036926162254796,4.861307382583618,-17.87491016725974,7.9648942947387695,0.0040019043,0.015639543533325195,-0.0046903808,21.359386886546275
101,3.797955274581909,0.5677535533905029,11.906780714657673,100,11.307239294052124,1020000,955.8425524234772,40.95645161161571,5.564144967273802,6.570634841918945,-17.58978249845577,10.723377227783203,-0.011191248,0.0157468318939209,-0.020858373,19.359322827947683
