LossAfter,train-AverageDiscountedReturn,train-NumTrajs,ItrTime,train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,n_timesteps,train-MinReturn,Itr,Time-SampleProc,train-AverageReturn,train-StdReturn,Time,train-EnvExecTime,LossBefore
-0.00058461534,26.701488104489844,100,24.91605281829834,14.030020475387573,37.39438561921552,1.0618655681610107,23.74051070213318,1110000,30.056142037682847,110,0.11298704147338867,34.310929375203436,1.4086039269631765,2788.0655465126038,9.001220226287842,-4.9591065e-09
-0.013524371,26.582443728019367,100,24.86698603630066,14.024088859558105,36.311338796291416,1.062103509902954,23.69308042526245,1120000,30.732517116635716,111,0.11107802391052246,34.17821222131296,1.33203162984319,2812.991960287094,8.970338582992554,-2.746582e-08
-0.021047827,26.732744462268556,100,24.990005016326904,14.077245473861694,37.90355146210264,1.060046911239624,23.799866914749146,1130000,30.80410888078522,112,0.12941503524780273,34.277491406005744,1.6141084094514493,2838.0394003391266,9.019453048706055,6.1035155e-09
-0.015611431,26.690747324709186,100,24.792137384414673,13.946232080459595,37.558811970605376,1.061337947845459,23.62087059020996,1140000,30.646368617506802,113,0.10936975479125977,34.17414402795033,1.4592994302501134,2862.890611886978,8.97528600692749,-1.6021728e-08
-0.0020552184,26.718728454704333,100,24.9827823638916,14.00478196144104,37.04628069546603,1.0986640453338623,23.74427819252014,1150000,30.829286686077186,114,0.13916516304016113,34.21386891335229,1.2181583166708942,2887.9311335086823,9.024473190307617,6.1035155e-09
-0.0034070557,26.67452430632139,100,24.91878080368042,14.080168724060059,36.56362579169005,1.0427703857421875,23.738152265548706,1160000,31.159735307400144,115,0.13711023330688477,34.09621841664094,1.2493999253993646,2912.916105747223,8.951959609985352,6.1035155e-09
-0.01755417,26.333586095685497,100,24.898849487304688,13.990283250808716,36.156952811302,1.0833780765533447,23.702792644500732,1170000,30.157521966129405,116,0.11193680763244629,33.79987274766555,1.1897463147053617,2937.8734464645386,9.008378744125366,1.8310548e-08
-0.105496,26.86399821130559,100,25.250043392181396,14.249730587005615,37.82741368245021,1.0962669849395752,24.036974906921387,1180000,30.60762559551939,117,0.11612915992736816,34.41061205340455,1.3849558510795157,2963.1803629398346,9.084701538085938,-6.1035155e-09
-0.026863929,26.18133468878632,100,24.98411726951599,14.113001346588135,37.306713887834825,1.0707733631134033,23.792614698410034,1190000,30.655637029258493,118,0.12006783485412598,34.1122130397378,1.5204309069284885,2988.2213003635406,8.977221965789795,-2.89917e-08
0.006635263,26.031339633309567,100,24.987138748168945,14.100084066390991,38.58289110218067,1.0664458274841309,23.811755418777466,1200000,29.636893761489464,119,0.10834860801696777,34.01665055678447,1.8147926977608233,3013.264719724655,9.007910251617432,1.1634826e-08
