Itr,LossBefore,train-MinReturn,n_timesteps,train-NumTrajs,train-AverageDiscountedReturn,Time-SampleProc,Time,train-MaxReturn,train-StdReturn,train-AverageReturn,Time-Sampling,ItrTime,Time-Optimization,LossAfter,train-EnvExecTime,train-PolicyExecTime
73,-1.1529606e-05,28.446066858835763,740000,100,24.879003981466745,0.04724931716918945,647.1846795082092,35.584798434810544,1.4229665704460557,32.270879738475294,8.680361986160278,8.94058346748352,0.21270537376403809,-0.0025646875,3.1404268741607666,5.261461496353149
74,-1.1474037e-05,29.28322009021501,750000,100,25.10450281669132,0.061003923416137695,653.1727254390717,34.85134232555789,1.2762263018610596,32.437584944521106,5.7085161209106445,5.978858947753906,0.20915985107421875,-0.0039134137,2.0690362453460693,3.45859694480896
75,-1.141048e-05,28.175631366081113,760000,100,25.067219780151476,0.03516840934753418,659.1394376754761,35.74510352356989,1.4858238219928508,32.42337188097898,5.6953747272491455,5.957479953765869,0.22664523124694824,-0.0027963766,2.0571372509002686,3.458866834640503
76,-1.1377599e-05,27.880460075960237,770000,100,25.187817858710385,0.03179216384887695,665.3329536914825,35.08376661715871,1.573701447036714,32.54347350361839,5.92795205116272,6.1825079917907715,0.2225334644317627,-0.002533602,2.118025541305542,3.623530149459839
77,-1.131206e-05,29.865551086032127,780000,100,25.572779971591867,0.04218745231628418,671.9418618679047,36.040065540079,1.34137703141523,33.000349117973066,6.300831079483032,6.5978662967681885,0.254439115524292,-0.0009095154,2.237316370010376,3.8641984462738037
78,-1.1263326e-05,29.629291895475724,790000,100,25.49291921587367,0.03510546684265137,679.2105267047882,36.51370590979368,1.4319116908126637,32.882142185665735,6.94715690612793,7.257179260253906,0.2745964527130127,-0.0017689762,2.501420497894287,4.231405019760132
79,-1.1215236e-05,28.046345864855738,800000,100,25.302914840853322,0.051172494888305664,687.9493355751038,36.05272305593231,1.6164762455976591,32.7068535502524,8.369300127029419,8.726819038391113,0.3058474063873291,7.3651216e-05,3.001647710800171,5.112436532974243
80,-1.1194901e-05,27.465401432766424,810000,100,25.328055282808258,0.051215410232543945,697.1779897212982,36.97695920104387,1.6812114627157297,32.65368773653455,8.918189525604248,9.210832357406616,0.24098968505859375,-0.0017159852,3.2197911739349365,5.424895524978638
81,-1.1159704e-05,29.564198459019213,820000,100,25.33162280164517,0.03743171691894531,705.9348118305206,35.496454328336085,1.4432796283006533,32.73269547958783,8.41629934310913,8.743221282958984,0.2891664505004883,-0.0013664551,3.0426294803619385,5.115814924240112
82,-1.1114597e-05,28.667368911300848,830000,100,25.636211852843562,0.061182498931884766,715.1426227092743,36.340685799035235,1.5176806128347962,33.07243422657204,8.919570684432983,9.194171667098999,0.2131671905517578,-0.0022217669,3.185267925262451,5.451079607009888
