train-MinReturn,n_timesteps,train-PolicyExecTime,train-MaxReturn,Time-Optimization,train-EnvExecTime,Itr,ItrTime,Time-Sampling,train-AverageDiscountedReturn,train-NumTrajs,LossBefore,LossAfter,Time,train-StdReturn,Time-SampleProc,train-AverageReturn
-84.97600904462544,1060000,14.946573734283447,97.3430588147039,1.1530625820159912,8.914652109146118,105,25.939088821411133,24.648823976516724,-2.033939402386338,100,-1.29468235e-05,-0.01694083,2721.921274662018,31.9613451383132,0.13642406463623047,-2.195044280104956
-110.07159630707804,1070000,14.813371419906616,102.97129071167821,1.147526502609253,8.717132091522217,106,25.578160285949707,24.295735359191895,1.46698076686193,100,-1.2946431e-05,-0.015899794,2747.575800895691,37.4689475292734,0.13413190841674805,4.590781919766673
-118.26756609515574,1080000,14.612229585647583,94.4911663658623,1.1551105976104736,8.7118399143219,107,25.38575053215027,24.096022367477417,-6.236790656301713,100,-1.29397185e-05,-0.018258022,2773.030786514282,34.108174402125414,0.13380718231201172,-9.732376048223458
-59.32034408543832,1090000,14.781004428863525,97.68370126424631,1.159055471420288,8.765022039413452,108,25.597506284713745,24.309479475021362,0.15409024019420625,100,-1.2925234e-05,-0.02096259,2798.700763940811,30.916731571193537,0.12830591201782227,0.9526509439150789
-113.60674200194215,1100000,14.774304866790771,96.05697618347297,1.1516578197479248,8.681925296783447,109,25.49907946586609,24.222460508346558,-4.608387176346235,100,-1.2917895e-05,-0.022497375,2824.2698736190796,38.29471974716642,0.12415504455566406,-5.6250145933105715
-89.86115949800485,1110000,14.788575410842896,84.82068853613873,1.1617696285247803,8.738848447799683,110,25.605920791625977,24.285141706466675,-6.019260344642759,100,-1.2851133e-05,-0.01797257,2849.948732614517,37.7467711027265,0.15820789337158203,-8.062865692665149
-81.39916191543205,1120000,14.696491479873657,99.74158455270803,1.1401796340942383,8.727860450744629,111,25.4619197845459,24.186206340789795,-2.1238308490720303,100,-1.2887596e-05,-0.018278498,2875.476732492447,37.25135899519006,0.13472914695739746,-1.90308308292278
-94.73070174610956,1130000,14.791968822479248,102.51487007402713,1.1771273612976074,8.744548559188843,112,25.627554893493652,24.299808502197266,-2.4618636118048673,100,-1.2862247e-05,-0.019609254,2901.1847887039185,38.09412995498436,0.14977264404296875,-1.1431144110596194
-105.77573807427302,1140000,14.765310287475586,143.6401343295139,1.1519064903259277,8.72526502609253,113,25.567084074020386,24.253301858901978,-0.26235907492089056,100,-1.2838746e-05,-0.020140037,2926.8222646713257,39.68257654778052,0.16109395027160645,0.3258473925728665
-85.4852266238799,1150000,14.826648712158203,106.81134956412956,1.145345687866211,8.746582746505737,114,25.61151432991028,24.338980197906494,3.0948462204889347,100,-1.2842949e-05,-0.018709043,2952.502534389496,38.90050751523578,0.12648725509643555,6.135642742205813
-89.99040424478532,1160000,14.830942869186401,104.45300071149111,1.162796974182129,8.796308517456055,115,25.702983140945435,24.39984703063965,1.5788039291631721,100,-1.2797581e-05,-0.018162893,2978.2771186828613,38.0572885822296,0.1397414207458496,4.594822138350602
-82.79822828896141,1170000,14.794692039489746,75.29327134936727,1.1673836708068848,8.753235578536987,116,25.62550401687622,24.312848329544067,-0.476354037672005,100,-1.2790774e-05,-0.020952249,3003.9742708206177,36.25307723843748,0.14450812339782715,0.7980251527730542
-81.02087676778386,1180000,14.789228200912476,110.72171165715885,1.1344239711761475,8.768333435058594,117,25.599782705307007,24.322248935699463,2.8589498610726674,100,-1.2749763e-05,-0.017876493,3029.641061067581,36.17431137074547,0.1412675380706787,6.135366669458989
-67.32170432252283,1190000,14.790415048599243,92.28099664633791,1.1715571880340576,8.800572395324707,118,25.66413116455078,24.353890895843506,3.0445199962430523,100,-1.2743348e-05,-0.019715529,3055.377331972122,32.61719048517494,0.1379549503326416,6.4083080432411395
-91.87649932848899,1200000,14.750823974609375,91.77329971809864,1.1532480716705322,8.786617040634155,119,25.594714164733887,24.30348825454712,0.012496244038701292,100,-1.27121775e-05,-0.017218374,3081.0422813892365,37.33357344753167,0.13718485832214355,1.5915986893712812
-70.82167593678597,1210000,14.792549133300781,89.80825369443515,1.1626365184783936,8.803829193115234,120,25.683151960372925,24.369892597198486,-1.1602852519139963,100,-1.269605e-05,-0.021170432,3106.7993171215057,36.08369429447092,0.1495828628540039,-0.23846442116348102
-66.52568883866333,1220000,14.751271963119507,143.49007005647326,1.1462607383728027,8.717428922653198,121,25.524027347564697,24.23655867576599,6.089848974354655,100,-1.2695797e-05,-0.018398466,3132.400121450424,41.42672650399945,0.14045429229736328,11.457584740210878
-83.206315647196,1230000,14.811983823776245,98.25385492495035,1.1466193199157715,8.774472713470459,122,25.647682189941406,24.360422372817993,4.6723361049591405,100,-1.2693273e-05,-0.019608594,3158.118688583374,33.49888472738403,0.13979411125183105,8.353746575574759
-82.68434132503559,1240000,14.534264326095581,101.78236496006133,1.1209192276000977,8.780823945999146,123,25.347102880477905,24.085664749145508,5.336819954856058,100,-1.2689337e-05,-0.021410175,3183.5339257717133,39.54387086833922,0.13967275619506836,10.789445377821249
-81.82616568859665,1250000,14.802388906478882,83.630024821625,1.158172845840454,8.805810451507568,124,25.67183780670166,24.370464324951172,4.3459556745381,100,-1.2698318e-05,-0.019189298,3209.2753114700317,38.52751956401908,0.14192557334899902,8.793615868013996
-98.26336496315757,1260000,14.802427291870117,87.40677259761787,1.1489348411560059,8.775773286819458,125,25.6354022026062,24.346235513687134,1.8371456415876855,100,-1.265807e-05,-0.018483631,3234.975841522217,36.44870101493904,0.1395435333251953,5.744052918103816
-99.51406852384889,1270000,14.911062479019165,126.51459654581211,1.1454689502716064,8.782492399215698,126,25.734301805496216,24.459179878234863,5.825436127442681,100,-1.2658141e-05,-0.019987924,3260.781497478485,36.246664167649826,0.12887859344482422,10.976615199826488
-109.41154840429905,1280000,14.793546438217163,125.59855517602722,1.141413927078247,8.762978792190552,127,25.58484411239624,24.3152596950531,4.732399672277636,100,-1.2621709e-05,-0.017505443,3286.4385998249054,42.513500007282694,0.12736058235168457,10.27222645755168
-111.93731272175923,1290000,14.776349544525146,108.97852308020242,1.1488797664642334,8.787410974502563,128,25.61854314804077,24.33440589904785,5.950452310065156,100,-1.2606044e-05,-0.018626185,3312.130143880844,39.392643387420286,0.13451886177062988,9.475507721270487
-94.37960974365254,1300000,14.725923299789429,104.60363038116166,1.164067029953003,8.707897186279297,129,25.49351716041565,24.196369886398315,2.934848326907879,100,-1.2620508e-05,-0.01767474,3337.6944432258606,38.54575602745389,0.13226771354675293,6.786654215514228
-92.68774843730327,1310000,14.69840931892395,103.96980154471918,1.1477818489074707,8.733129024505615,130,25.483370542526245,24.198397397994995,1.3877841888264215,100,-1.2577272e-05,-0.019680351,3363.2483654022217,36.089121500820745,0.13638973236083984,4.645705096679125
