LossBefore,train-PolicyExecTime,ItrTime,train-AverageReturn,LossAfter,Time-Sampling,Time-SampleProc,train-MaxReturn,train-MinReturn,n_timesteps,Time-Optimization,train-EnvExecTime,train-NumTrajs,train-StdReturn,Itr,Time,train-AverageDiscountedReturn
-1.06319185e-05,14.208273649215698,24.734864711761475,156.8299391706531,-0.011748728,23.524325847625732,0.12511944770812988,245.27591562682505,60.50233068113809,1830000,1.0846989154815674,8.58384084701538,100,34.940185819065185,182,4568.419106960297,87.60195752570807
-1.059769e-05,14.224116086959839,24.76022696495056,160.64930129599318,-0.011807266,23.5269513130188,0.12546205520629883,252.06503375409122,66.93659904998628,1840000,1.1071131229400635,8.582871675491333,100,39.332925923562655,183,4593.248652935028,90.15779164949255
-1.05660665e-05,14.174550294876099,24.716599941253662,163.5777823120556,-0.009834774,23.46198010444641,0.15233707427978516,277.56897408160404,99.71183586461542,1850000,1.1015477180480957,8.552122831344604,100,33.01393626083466,184,4618.028293371201,91.25818372783765
-1.0543275e-05,14.303141832351685,24.927514791488647,158.4532900377065,-0.012173931,23.64544939994812,0.1338813304901123,258.52807672152113,45.24006665168946,1860000,1.1474354267120361,8.611985683441162,100,37.87113905469185,185,4643.01821064949,88.36534777205009
-1.0517275e-05,14.199320793151855,24.797467708587646,157.98981315542954,-0.0091907075,23.5350558757782,0.13605666160583496,221.18213895511892,75.65517112186217,1870000,1.1255569458007812,8.602680444717407,100,31.182222016439766,186,4667.888598680496,88.70872732581392
-1.0495666e-05,14.143231868743896,24.70078945159912,162.8130415963144,-0.0144091975,23.47397780418396,0.1298205852508545,253.54379180960277,65.69867117145623,1880000,1.0963215827941895,8.606633186340332,100,35.446846274020444,187,4692.651880741119,91.13025100765596
-1.0474271e-05,14.324169635772705,24.960935831069946,162.11039666594854,-0.0140579175,23.667761087417603,0.1482830047607422,232.0951121604042,74.02178823768726,1890000,1.144148826599121,8.607508897781372,100,31.92213305048688,188,4717.681321382523,89.87662188587787
-1.0484759e-05,14.201514482498169,24.793487310409546,163.5125191590697,-0.013599619,23.56574296951294,0.12177348136901855,252.98980640558173,86.46337091400737,1900000,1.1051959991455078,8.629735469818115,100,36.724164391734014,189,4742.545280694962,91.80904248314796
-1.0442466e-05,14.263202667236328,25.26323628425598,165.24486857882638,-0.010287382,23.590633153915405,0.13865900039672852,243.57409948316086,94.30539613734149,1910000,1.532557725906372,8.59450626373291,100,32.81514414228249,190,4767.874699354172,92.22820713654302
-1.0462791e-05,17.409449577331543,29.47143292427063,161.6149176180289,-0.009548562,28.08690047264099,0.1361556053161621,237.06125615176634,61.03096184980122,1920000,1.247661828994751,9.78458046913147,100,31.59524824493785,191,4797.418452978134,90.13505956050378
-1.04176725e-05,15.523120164871216,26.994704008102417,161.1644330259132,-0.011512402,25.3988676071167,0.15702199935913086,229.79731370477418,46.72529359815868,1930000,1.4380323886871338,9.088334560394287,100,36.44558047076804,192,4824.489844322205,89.8346403653889
