train-PolicyExecTime,Time-SampleProc,train-AverageDiscountedReturn,train-StdReturn,train-MaxReturn,Time-Sampling,Time,Time-Optimization,train-EnvExecTime,LossBefore,Itr,n_timesteps,train-NumTrajs,train-MinReturn,ItrTime,LossAfter,train-AverageReturn
5.784199237823486,0.06563591957092285,99.91126466857217,28.972351979078965,253.29674503552428,9.291605710983276,1408.5245337486267,0.4991450309753418,3.2238943576812744,-9.505562e-06,170,1710000,100,90.85134379643948,9.85687518119812,-0.012353256,172.24101378142444
6.100064754486084,0.07386970520019531,99.14718053457858,35.68336062461406,246.04458086469504,9.828209161758423,1418.9453456401825,0.4896857738494873,3.4254016876220703,-9.470675e-06,171,1720000,100,8.779946075174733,10.392380714416504,-0.012242703,169.71500827138033
6.230797052383423,0.08749699592590332,98.56768977855506,37.6714922544008,238.60179353828457,9.969523191452026,1429.53036236763,0.5021905899047852,3.4394195079803467,-9.443847e-06,172,1730000,100,4.706188701966349,10.559819459915161,-0.014376009,168.86637942233583
6.250597238540649,0.06884551048278809,103.0706977618099,31.175183964272634,260.0617298208271,9.97287130355835,1440.1114826202393,0.5112597942352295,3.4217424392700195,-9.41228e-06,173,1740000,100,73.94862731691573,10.55331301689148,-0.014901279,176.16969523540655
6.230839729309082,0.07454466819763184,101.84250457350903,39.239918381751885,273.9227593267654,9.942773342132568,1450.6755907535553,0.5206141471862793,3.4106557369232178,-9.404624e-06,174,1750000,100,44.12865112189328,10.538294792175293,-0.012431016,174.85185421246464
5.137543439865112,0.06807184219360352,97.41495520480386,37.642603135882126,255.68891456840726,8.209311246871948,1459.3292586803436,0.34613966941833496,2.8190033435821533,-9.340753e-06,175,1760000,100,59.413387171399116,8.623780250549316,-0.010462834,165.740644840291
3.7940921783447266,0.08561086654663086,99.6607426883093,41.534855795854554,257.30978095449234,6.05618691444397,1465.8476684093475,0.3601701259613037,2.071739435195923,-9.351886e-06,176,1770000,100,7.030794359301687,6.50219464302063,-0.0077299597,170.18888309290932
3.937009811401367,0.08406829833984375,101.19283623159548,34.59962149883975,272.47745608762386,6.305120229721069,1472.6134057044983,0.34877729415893555,2.166860580444336,-9.277529e-06,177,1780000,100,53.11603132842218,6.748736143112183,-0.009798314,172.1991754954307
4.005198240280151,0.04736161231994629,104.45082595757405,35.71839065628096,268.6441742922311,6.384734869003296,1479.4539847373962,0.38945436477661133,2.179108142852783,-9.260817e-06,178,1790000,100,97.77887781879521,6.821885347366333,-0.00974137,179.69780962368634
4.907792806625366,0.06809568405151367,102.37122284708488,35.64587427899211,250.86342310887406,7.865803241729736,1487.9119024276733,0.5044326782226562,2.7151262760162354,-9.230976e-06,179,1800000,100,62.71332626947525,8.43866753578186,-0.014442529,176.10406041530877
6.188791513442993,0.06724214553833008,100.34077326689672,35.615702310401005,270.0031004210687,9.91454267501831,1498.418029308319,0.4942755699157715,3.4258289337158203,-9.206873e-06,180,1810000,100,41.16707568255169,10.47659158706665,-0.011938013,172.17192299049307
6.204179048538208,0.0693514347076416,102.45500152780198,38.04195380252382,291.8283021706075,9.92388367652893,1508.9486284255981,0.5103747844696045,3.406482219696045,-9.155008e-06,181,1820000,100,28.754290998278517,10.504028558731079,-0.009600056,174.4209566183845
6.098620414733887,0.11232328414916992,103.67725682196223,31.08436084409341,262.58106044190674,9.822450637817383,1519.393708229065,0.48202967643737793,3.4245736598968506,-9.134387e-06,182,1830000,100,35.617019031822394,10.417330980300903,-0.013533374,178.40687886901182
6.18632698059082,0.06531429290771484,105.01741025414985,31.16175711350602,254.1450154494725,9.906671524047852,1529.9077882766724,0.5128540992736816,3.423593044281006,-9.101623e-06,183,1840000,100,112.07290641926123,10.485270023345947,-0.015850522,180.7811617119968
6.193167209625244,0.09080100059509277,104.58549734776088,32.503004680639286,266.37093825819653,9.886220693588257,1540.3997776508331,0.4848451614379883,3.3955070972442627,-9.078432e-06,184,1850000,100,72.09284219121716,10.462219476699829,-0.013072466,179.99383972743405
5.732337951660156,0.03556966781616211,105.20672688004952,37.030830298173456,269.4677240771873,9.152375221252441,1549.986552476883,0.3699057102203369,3.140991687774658,-9.065493e-06,185,1860000,100,-28.635423993602533,9.558146238327026,-0.013341095,180.2700170093973
3.785473108291626,0.04419898986816406,105.84786581100889,39.26689279954234,266.34409197730315,6.0212082862854,1556.4357953071594,0.3667125701904297,2.0485641956329346,-9.042678e-06,186,1870000,100,42.432041603512616,6.432413101196289,-0.0129245315,182.0323778690069
3.874051809310913,0.04604077339172363,105.5236683005821,32.257306981004675,258.98867963183903,6.211552143096924,1563.0785434246063,0.3677401542663574,2.143758535385132,-8.983351e-06,187,1880000,100,95.05667703521907,6.625571250915527,-0.010634722,181.3813082368913
3.9972314834594727,0.0516514778137207,106.8964135798299,40.51467342645312,290.12962215668176,6.3749096393585205,1569.9077351093292,0.38570499420166016,2.1778581142425537,-8.947728e-06,188,1890000,100,-45.57413892539241,6.812662124633789,-0.011838862,184.83397099726741
4.438705205917358,0.0732736587524414,108.05520953295343,39.6860545599842,264.9359937965418,7.077515363693237,1577.555710554123,0.4786031246185303,2.418170928955078,-8.932726e-06,189,1900000,100,29.529023451485568,7.629782438278198,-0.009416795,186.61476673029765
