train-PolicyExecTime,train-NumTrajs,Time-Optimization,n_timesteps,train-MaxReturn,LossBefore,Time-SampleProc,Time-Sampling,Time,Itr,train-AverageReturn,ItrTime,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-EnvExecTime
15.4644935131073,100,0.4592726230621338,1740000,194.0723200795834,-9.732998e-06,0.1838972568511963,20.739726781845093,3876.37780046463,173,107.7344912848219,21.38430380821228,33.811578369868215,63.58500170870253,21.44130199531112,-0.014745774,4.804286956787109
15.991355895996094,100,0.4820592403411865,1750000,178.67329758003598,-9.69289e-06,0.15692973136901855,21.328968048095703,3898.3608293533325,174,104.07382672829682,21.969989776611328,35.715651032984425,61.16220882471707,-6.075775408367736,-0.013544926,4.869635820388794
15.763619899749756,100,0.486555814743042,1760000,194.60477937980974,-9.651188e-06,0.21903109550476074,21.052814245224,3920.1397519111633,175,111.24185640165825,21.761741876602173,36.49192331790574,65.5103096513466,-1.9997464592989949,-0.01364474,4.815587282180786
16.535694360733032,100,0.459810733795166,1770000,179.22212647501883,-9.623356e-06,0.14995813369750977,21.894381284713745,3942.6592888832092,176,112.86790652228773,22.50674843788147,37.408770227967466,66.62599365842676,-16.68507080613735,-0.015303571,4.9094390869140625
16.677088022232056,100,0.6090426445007324,1780000,188.9992806928863,-9.577097e-06,0.18410563468933105,22.183895349502563,3965.648014307022,177,113.53353667612872,22.97812533378601,33.740959170110756,66.14345730610698,16.54497378321217,-0.013786378,5.0322957038879395
15.482581377029419,100,0.5269894599914551,1790000,223.51617086751992,-9.558156e-06,0.15698528289794922,20.65629267692566,3987.0131816864014,178,110.24934968072532,21.341376543045044,37.82704505738429,65.29182165467029,3.990678128845113,-0.013441738,4.731261968612671
16.3780620098114,100,0.4968903064727783,1800000,195.93393076773873,-9.5287405e-06,0.1765744686126709,21.755573511123657,4009.4616911411285,179,111.97844775429537,22.431572437286377,36.69607377668149,65.9084469616064,1.3610401866866617,-0.00767914,4.89017128944397
16.322397232055664,100,0.4266653060913086,1810000,176.3158403663412,-9.488745e-06,0.169647216796875,21.765494346618652,4031.8492057323456,180,111.92946462197246,22.372051000595093,32.000190618834516,66.0490000858801,-1.0603784977921222,-0.012844513,4.979673147201538
15.826640367507935,100,0.5006020069122314,1820000,185.15999684159183,-9.449065e-06,0.13965654373168945,21.240530729293823,4053.7500746250153,181,107.72318720044714,21.88213801383972,41.30210284946691,64.23181003010228,-18.272490632045336,-0.011829077,4.946173667907715
16.98076105117798,100,0.426114559173584,1830000,200.98134912757638,-9.423126e-06,0.14180564880371094,22.41513442993164,4076.7535367012024,182,115.7844082432724,22.98401713371277,40.11532183157119,68.32465305061031,-7.599916937673327,-0.011840791,4.969822645187378
15.819554328918457,100,0.4008207321166992,1840000,181.33519258970642,-9.4101715e-06,0.14954280853271484,21.1931574344635,4098.5137639045715,183,114.78211248497006,21.74500012397766,28.29937350254703,67.84636625265375,40.4800231113126,-0.0121614495,4.9090259075164795
17.365947723388672,100,0.4421055316925049,1850000,187.7913580157046,-9.356647e-06,0.12857723236083984,22.98571538925171,4122.085405349731,184,117.6438377624084,23.557422637939453,36.21300079467227,69.19510260974306,-4.164898679957329,-0.015319885,5.116806507110596
15.971115589141846,100,0.45149946212768555,1860000,181.12491658163376,-9.319639e-06,0.08413314819335938,21.277188062667847,4143.917754888535,185,110.89773372697545,21.81553053855896,34.70824606737893,65.60121429392606,19.422960591889257,-0.015097925,4.812233924865723
