LossAfter,Time-Optimization,Itr,Time-SampleProc,LossBefore,Time,train-StdReturn,train-AverageReturn,train-EnvExecTime,train-PolicyExecTime,train-MaxReturn,train-MinReturn,Time-Sampling,ItrTime,train-NumTrajs,train-AverageDiscountedReturn,n_timesteps
-5.768707,0.6221110820770264,82,0.014659881591796875,0.016900476,760.4042236804962,56.18993559093665,-54.77602023651435,3.346489191055298,5.727985858917236,63.76666048382986,-233.52522560794662,9.370489358901978,10.007837295532227,100,-31.664049972346252,830000
-6.0161314,0.6332187652587891,83,0.01869797706604004,0.016679797,774.4890472888947,44.16603306122249,-26.301595060718345,4.832622766494751,8.152745008468628,68.50377181746552,-149.23177048224838,13.401954889297485,14.054373025894165,100,-15.036877599830383,840000
-29.579556,0.8886754512786865,84,0.028512239456176758,-0.01723484,783.4996857643127,42.28808141058563,-23.209374738477358,2.9400806427001953,4.863192319869995,95.48414671510267,-180.51391026275863,8.067893266677856,8.985646486282349,100,-12.643198409171875,850000
-306.95224,0.542090654373169,85,0.013108491897583008,0.0149624515,791.661435842514,46.34700975574931,-13.986375263149904,2.7703092098236084,4.574381113052368,97.94345222381286,-116.98684073785738,7.588744401931763,8.14424991607666,100,-6.7582006979936144,860000
-511.9684,0.515958309173584,86,0.011523008346557617,0.010176297,800.0349521636963,47.419707644975645,4.352189798852669,2.787161350250244,4.788374900817871,111.75431408517272,-132.6472564675481,7.8271238803863525,8.354871034622192,100,1.526807080342473,870000
-178.47227,0.6327841281890869,87,0.021476030349731445,-0.026678907,811.4217913150787,22.26666110151428,12.312161488100049,3.8186988830566406,6.558430194854736,58.75227622885596,-102.11805788536289,10.713003158569336,11.367560863494873,100,5.913933288401756,880000
-34.828846,0.5804574489593506,88,0.015478849411010742,0.014754834,821.566986322403,9.256847824746911,26.43702817611555,3.397185802459717,5.820446968078613,42.318253120687785,-0.6062970861292893,9.524325132369995,10.120544910430908,100,12.06847964505369,890000
-3.433754,0.5723755359649658,89,0.017966032028198242,0.0080139525,831.5729875564575,8.74310048433574,25.908968498595264,3.3488571643829346,5.751404523849487,39.515118186220676,-9.566465871835584,9.39436674118042,9.985006093978882,100,11.08392517574847,900000
-0.06962949,0.5672430992126465,90,0.015713214874267578,-0.0036617431,840.1018943786621,9.29947634208175,25.686905716971392,2.8234362602233887,4.841869115829468,41.19824652857818,-10.901779711611237,7.92396354675293,8.507205486297607,100,11.092597822801435,910000
-0.17239004,0.5848503112792969,91,0.01574110984802246,-0.01936084,851.4621622562408,11.42824687715547,25.02566783792333,3.8064610958099365,6.584398031234741,43.05641658053261,-13.534008470703252,10.726531982421875,11.327544212341309,100,10.878806611938142,920000
-0.07267673,0.5819520950317383,92,0.014541864395141602,-0.0049700197,859.9851326942444,11.647079308819245,24.754328094929985,2.7782580852508545,4.864952087402344,40.07918011641848,-22.367504352435144,7.90389609336853,8.500858068466187,100,10.674252722409774,930000
-0.040457826,0.5577051639556885,93,0.017899513244628906,0.008468836,871.3642408847809,8.170617984470905,27.09635338495924,3.8378422260284424,6.60765528678894,42.613040125162186,2.694706379894119,10.78075623512268,11.356627225875854,100,11.958893267979498,940000
-0.04048583,0.5645358562469482,94,0.014074087142944336,-0.027671436,879.834757566452,9.938078606392974,25.574567281902876,2.793633222579956,4.822674751281738,39.483198722732226,-5.086497171920322,7.869661569595337,8.448535442352295,100,10.980218554012586,950000
